word,score,entity,index,start,end
Bangalore,0.998222291469574,B-LOC,18,61,70
K,0.9981442093849182,B-PER,38,141,142
Part,0.9993050694465637,I-PER,40,144,148
##hasa,0.9916291236877441,I-PER,41,148,152
##rat,0.9785228371620178,I-PER,42,152,155
##hy,0.966553270816803,I-PER,43,155,157
T,0.9988563656806946,B-PER,50,169,170
S,0.6396726965904236,I-PER,52,171,172
Krishna,0.9981780648231506,I-PER,54,173,180
I,0.9985901713371277,I-PER,55,181,182
##ye,0.8933128714561462,I-PER,56,182,184
Sri,0.8183925747871399,B-LOC,68,218,221
##ni,0.685392439365387,I-LOC,69,221,223
##vas,0.6978558301925659,I-LOC,70,223,226
##a,0.7435418367385864,I-LOC,71,226,227
2nd,0.8516031503677368,B-LOC,73,229,232
Main,0.7434590458869934,I-LOC,74,233,237
Road,0.9567893743515015,I-LOC,75,238,242
Han,0.9956859946250916,B-LOC,77,244,247
##uman,0.975699245929718,I-LOC,78,247,251
##than,0.9903022050857544,I-LOC,79,251,255
##aga,0.9934250116348267,I-LOC,80,255,258
##r,0.9847950339317322,I-LOC,81,258,259
Bangalore,0.998992919921875,B-LOC,83,261,270
V,0.999039351940155,B-PER,138,474,475
##eera,0.9956398010253906,B-PER,139,475,479
##bra,0.9690592288970947,I-PER,140,479,482
##hm,0.9186838269233704,I-PER,141,482,484
##am,0.731126070022583,I-PER,142,484,486
Bath,0.9994281530380249,I-PER,143,487,491
##ini,0.9813011288642883,I-PER,144,491,494
Ling,0.9968793988227844,B-PER,151,503,507
##aia,0.9797161221504211,I-PER,152,507,510
##h,0.43924251198768616,I-PER,153,510,511
Bath,0.9992613196372986,I-PER,154,512,516
##ini,0.9565832614898682,I-PER,155,516,519
PS,0.884583055973053,B-ORG,165,554,556
Power,0.9946499466896057,B-ORG,169,569,574
Research,0.9983808994293213,I-ORG,170,575,583
and,0.9986334443092346,I-ORG,171,584,587
Development,0.9982022047042847,I-ORG,172,588,599
Consul,0.9928877949714661,I-ORG,173,600,606
##tant,0.9941075444221497,I-ORG,174,606,610
##s,0.9885920882225037,I-ORG,175,610,611
West,0.9769761562347412,B-LOC,186,640,644
of,0.9654560685157776,I-LOC,187,645,647
Cho,0.9297437071800232,B-LOC,188,648,651
##rd,0.986418604850769,I-LOC,189,651,653
Road,0.9832841753959656,I-LOC,190,654,658
Bangalore,0.9981606006622314,B-LOC,192,660,669
Less,0.4380939304828644,B-PER,242,794,798
Floor,0.5398038029670715,I-LOC,265,897,902
Krishna,0.9956285357475281,B-PER,272,924,931
K,0.9548248648643494,I-PER,273,932,933
##rup,0.6026999354362488,I-LOC,274,933,936
3rd,0.33985966444015503,B-LOC,277,939,942
Cross,0.6575456261634827,I-ORG,278,943,948
1st,0.4034620225429535,B-LOC,280,950,953
Main,0.4901922047138214,I-LOC,281,954,958
V,0.8026160001754761,B-ORG,283,960,961
##BC,0.8747868537902832,I-ORG,285,962,964
##SL,0.8531280159950256,I-ORG,286,964,966
West,0.9809300899505615,B-LOC,290,975,979
of,0.9657791256904602,I-LOC,291,980,982
Cho,0.6233794093132019,B-LOC,292,983,986
##rd,0.9893592596054077,I-LOC,293,986,988
Road,0.9923776388168335,I-LOC,294,989,993
Bangalore,0.9980634450912476,B-LOC,296,995,1004
Floor,0.4585166573524475,I-LOC,316,1070,1075
Krishna,0.9946843981742859,B-PER,325,1102,1109
K,0.9819895029067993,I-PER,326,1110,1111
##rup,0.4019331634044647,I-LOC,327,1111,1114
3rd,0.41692718863487244,B-LOC,330,1117,1120
Cross,0.6132917404174805,I-ORG,331,1121,1126
Main,0.41978320479393005,I-LOC,334,1132,1136
V,0.8941327333450317,B-ORG,336,1138,1139
##BC,0.9528127908706665,I-ORG,338,1140,1142
##SL,0.9224846959114075,I-ORG,339,1142,1144
West,0.9800806641578674,B-LOC,343,1153,1157
of,0.986459493637085,I-LOC,344,1158,1160
Cho,0.930765688419342,I-LOC,345,1161,1164
##rd,0.9795410633087158,I-LOC,346,1164,1166
Road,0.9871761202812195,I-LOC,347,1167,1171
Bangalore,0.9980526566505432,B-LOC,349,1173,1182
Less,0.5673258304595947,B-ORG,366,1251,1255
