entity,start_char,end_char,label
March 22nd day 2013,47,66,DATE
TWO THOUSAND Thirteen,68,89,DATE
Chennai,94,101,GPE
Kamal,116,121,PERSON
about 32 years,128,142,DATE
Appar Sundar,151,163,PERSON
Pursawalkam,176,187,GPE
Kosapt,189,195,PERSON
ONE,398,401,CARDINAL
Appar,487,492,PERSON
about 62 years,499,513,DATE
Pursawalkam,526,537,GPE
Chennai,541,548,GPE
600 012,551,558,CARDINAL
22.03.13,612,620,FAC
Kumar S/O,637,646,PERSON
Veda Chalam,653,664,PERSON
Old No.97,979,988,ORG
Kanda Swamy Koil street,990,1013,PERSON
Kosapet,1015,1022,ORG
Pursawalkam Chennai,1024,1043,ORG
600012,1044,1050,DATE
SCHEULE,1174,1181,LOC
Monthly,1200,1207,DATE
a period of,1249,1260,DATE
12 months,1261,1270,DATE
herby,1345,1350,PERSON
FLAT,1391,1395,ORG
monthly,1415,1422,DATE
WITNESSTH,1494,1503,ORG
Lease,1521,1526,ORG
a period of,1550,1561,DATE
12 months,1562,1571,DATE
23.03.13,1589,1597,CARDINAL
23.03.14,1623,1631,CARDINAL
12 months,1652,1661,DATE
Lease,1668,1673,ORG
Lease,1757,1762,ORG
the English Calendar Month,1779,1805,EVENT
Monthly,1841,1848,DATE
5th day,1878,1885,DATE
15000.00,2017,2025,CARDINAL
Twelve Thousand,2044,2059,MONEY
100000,2084,2090,CARDINAL
one,2117,2120,CARDINAL
monthly,2353,2360,DATE
Maintenance Charges,2388,2407,ORG
1000 per month,2412,2426,DATE
Kamal,2448,2453,PERSON
Electricity Consumption,2456,2479,ORG
Water Charges (Rs.500/month,2505,2532,ORG
Building,2813,2821,FAC
third,3416,3421,ORDINAL
monthly,3525,3532,DATE
two consecutive months,3569,3591,DATE
Demised,4263,4270,GPE
monthly,4342,4349,DATE
General Maintenance,4350,4369,ORG
Kamal,4424,4429,PERSON
Building,4675,4683,ORG
Municipal Corporation,4735,4756,ORG
Lease,5065,5070,ORG
2,5106,5107,CARDINAL
Two) months,5109,5120,DATE
monthly,5244,5251,DATE
the period of two months,5297,5321,DATE
the Expiry of the Lease Period of 12 months,5802,5845,EVENT
this Lease Agreement,5847,5867,LAW
5%,5890,5892,PERCENT
12 / 24 months,5990,6004,DATE
Swamy Koil Street,6111,6128,PERSON
Kosapet,6130,6137,GPE
Chennai-600012,6139,6153,ORG
the day,6319,6326,DATE
year first,6339,6349,DATE
SEALED,6373,6379,PRODUCT
POA,6452,6455,ORG
Fans	,6534,6539,ORG
Geysers	c,6542,6551,ORG
Tube Lights	,6553,6565,FAC
Exhaust Fan,6568,6579,ORG
