word,score,entity,index,start,end
SR,0.7239193916320801,B-ORG,29,115,117
N,0.632027804851532,I-ORG,32,119,120
VI,0.5381821990013123,I-ORG,34,121,123
K,0.5240765810012817,I-ORG,38,127,128
Cross,0.5732670426368713,I-LOC,56,178,183
BT,0.44182461500167847,B-LOC,58,186,188
T,0.9649665951728821,B-LOC,63,201,202
##ha,0.9131653308868408,B-LOC,64,202,204
##var,0.5570615530014038,B-LOC,65,204,207
##ek,0.9282988905906677,I-LOC,66,207,209
Ban,0.9735377430915833,B-LOC,70,220,223
##ag,0.9625875949859619,I-LOC,71,223,225
##lore,0.8661780953407288,I-LOC,72,225,229
SH,0.43481123447418213,B-ORG,101,304,306
D,0.2709490656852722,B-PER,104,309,310
##UP,0.3742072880268097,I-ORG,112,324,326
H,0.664107620716095,B-ORG,137,391,392
##AR,0.6312966346740723,I-ORG,138,392,394
##IT,0.6713818907737732,I-ORG,139,394,396
N,0.46297886967658997,I-ORG,162,441,442
IN,0.8293015956878662,B-LOC,166,448,450
Au,0.5579350590705872,B-LOC,170,456,458
##rai,0.5836639404296875,B-LOC,171,458,461
u,0.4194611608982086,I-LOC,173,464,465
Pradesh,0.32528671622276306,I-ORG,176,470,477
