word,score,entity,index,start,end
Bangalore,0.9990374445915222,B-LOC,42,150,159
S,0.9971879124641418,B-PER,48,179,180
Part,0.9967978000640869,I-PER,49,181,185
##hasa,0.9921140074729919,I-PER,50,185,189
##rat,0.9332287311553955,I-PER,51,189,192
##hy,0.9703044295310974,I-PER,52,192,194
SS,0.8341066241264343,B-PER,56,203,205
A,0.9689800143241882,I-PER,57,206,207
##yya,0.9154297709465027,I-PER,58,207,210
##nga,0.6278755068778992,I-PER,59,210,213
Road,0.8660850524902344,B-LOC,75,258,262
No,0.9669684767723083,I-LOC,76,263,265
:,0.5572075843811035,I-LOC,77,265,266
9,0.8541353344917297,I-LOC,78,267,268
Film,0.9847337603569031,B-LOC,80,270,274
Nagar,0.9973275065422058,I-LOC,81,275,280
Jubilee,0.9801039099693298,B-LOC,83,282,289
Hills,0.9964206218719482,I-LOC,84,290,295
Hyderabad,0.999427080154419,B-LOC,86,297,306
Hari,0.9990009069442749,B-PER,111,372,376
Kiran,0.9969412684440613,I-PER,112,377,382
T,0.9985576868057251,I-PER,113,383,384
##hole,0.558979868888855,I-PER,114,384,388
##ti,0.5931142568588257,I-PER,115,388,390
Sam,0.9984321594238281,B-PER,119,399,402
##bas,0.8241854310035706,I-PER,120,402,405
##iva,0.8097708225250244,I-PER,121,405,408
Rao,0.9939352869987488,I-PER,122,409,412
P,0.6180934906005859,B-LOC,133,451,452
Sri,0.9291524887084961,B-LOC,137,460,463
V,0.6961653828620911,I-LOC,138,464,465
##en,0.7427727580070496,I-LOC,139,465,467
##kat,0.7896365523338318,I-LOC,140,467,470
##es,0.9256700873374939,I-LOC,141,470,472
##wara,0.9738375544548035,I-LOC,142,472,476
Re,0.8852687478065491,I-LOC,143,477,479
##side,0.7039222717285156,I-LOC,144,479,483
##ncy,0.43565458059310913,I-LOC,145,483,486
Central,0.9144210815429688,B-LOC,147,488,495
Ex,0.9448298811912537,I-LOC,148,496,498
##cise,0.9577767848968506,I-LOC,149,498,502
Colony,0.9794031381607056,I-LOC,150,503,509
Ba,0.9934325814247131,B-LOC,152,511,513
##gam,0.9896785616874695,I-LOC,153,513,516
##ber,0.9915104508399963,I-LOC,154,516,519
##pet,0.9961977601051331,I-LOC,155,519,522
Hyderabad,0.9992129802703857,B-LOC,157,524,533
S,0.994949221611023,B-PER,202,633,634
Part,0.9974271059036255,I-PER,203,635,639
##hasa,0.996370792388916,I-PER,204,639,643
##rat,0.9736227989196777,I-PER,205,643,646
##hy,0.98191899061203,I-PER,206,646,648
Ken,0.9883971214294434,B-LOC,241,777,780
##dr,0.9630922675132751,I-LOC,242,780,782
##iya,0.9943264126777649,I-LOC,243,782,785
V,0.9956953525543213,I-LOC,244,786,787
##ih,0.9928251504898071,I-LOC,245,787,789
##ar,0.9918981194496155,I-LOC,246,789,791
Bangalore,0.9970154166221619,B-LOC,248,793,802
Bella,0.9910198450088501,B-LOC,250,803,808
##ry,0.9856957197189331,I-LOC,251,808,810
Road,0.9959152340888977,I-LOC,252,811,815
Ye,0.9953005909919739,B-LOC,254,817,819
##lah,0.9530856609344482,I-LOC,255,819,822
##an,0.9849978089332581,I-LOC,256,822,824
##ka,0.9870861172676086,I-LOC,257,824,826
Bangalore,0.9986170530319214,B-LOC,259,828,837
Ken,0.7481633424758911,B-LOC,370,1302,1305
##dr,0.9061630964279175,I-LOC,371,1305,1307
##iya,0.5453210473060608,I-ORG,372,1307,1310
V,0.798310399055481,I-ORG,373,1311,1312
##ih,0.8450905084609985,I-LOC,374,1312,1314
##ar,0.9642959237098694,I-ORG,375,1314,1316
Apart,0.7602733969688416,I-ORG,376,1317,1322
##ment,0.8220526576042175,I-ORG,377,1322,1326
Own,0.9788625836372375,I-ORG,378,1327,1330
##ers,0.9961186051368713,I-ORG,379,1330,1333
Association,0.9944271445274353,I-ORG,380,1334,1345
K,0.9955044388771057,B-ORG,382,1347,1348
##VA,0.9614095687866211,I-ORG,383,1348,1350
