word,score,entity,index,start,end
AN,0.6579926013946533,B-ORG,20,71,73
##AN,0.47799280285835266,I-ORG,21,73,75
C,0.930391252040863,B-PER,30,87,88
Sc,0.7096849083900452,I-PER,32,90,92
Chang,0.9757274389266968,B-LOC,41,125,130
##an,0.9817191958427429,I-LOC,42,130,132
##kari,0.9639396071434021,I-LOC,43,132,136
##yi,0.8475396037101746,I-LOC,44,136,138
##l,0.9153887629508972,I-LOC,45,138,139
House,0.9225123524665833,I-LOC,46,140,145
Ka,0.748794674873352,I-LOC,47,146,148
##ru,0.4117090702056885,I-LOC,48,148,150
##van,0.6202329993247986,I-LOC,49,150,153
##chal,0.9637735486030579,I-LOC,50,153,157
P,0.7823939919471741,I-LOC,51,158,159
Al,0.9867602586746216,B-LOC,54,162,164
##ak,0.988025963306427,I-LOC,55,164,166
##ode,0.9945567846298218,I-LOC,56,166,169
Ta,0.9668464660644531,B-LOC,58,171,173
##lip,0.9829574227333069,B-LOC,59,173,176
##ara,0.8135528564453125,I-LOC,60,176,179
##mba,0.9697750210762024,I-LOC,61,179,182
Ka,0.981788158416748,B-LOC,63,184,186
##nn,0.9536719918251038,B-LOC,64,186,188
##ur,0.9584139585494995,I-LOC,65,188,190
Pi,0.9748324155807495,I-LOC,66,191,193
B,0.5995258092880249,B-ORG,93,267,268
P,0.7819254398345947,I-ORG,96,273,274
##UR,0.5668171644210815,I-ORG,97,274,276
Para,0.8260489106178284,B-PER,110,297,301
##pa,0.44601649045944214,I-ORG,111,301,303
Put,0.5922614932060242,I-LOC,114,308,311
##hra,0.4234399199485779,I-LOC,115,311,314
Val,0.3894825279712677,I-PER,116,315,318
##sal,0.6301324367523193,I-PER,117,318,321
Nan,0.7937740087509155,B-LOC,132,361,364
##da,0.579806923866272,I-LOC,133,364,366
##vana,0.5249285101890564,I-LOC,134,366,370
##m,0.9349758625030518,I-LOC,135,370,371
Ch,0.36869093775749207,B-LOC,137,373,375
##mb,0.4706302881240845,I-ORG,139,376,378
##uk,0.7442773580551147,I-LOC,141,380,382
##ku,0.8696719408035278,I-LOC,142,382,384
T,0.8888819217681885,B-LOC,144,386,387
##hr,0.8048386573791504,B-LOC,145,387,389
##ik,0.7970852851867676,I-LOC,146,389,391
##ka,0.9184879064559937,I-LOC,147,391,393
##kara,0.8277943134307861,I-LOC,148,393,397
P,0.6641484498977661,I-ORG,149,398,399
O,0.5646525621414185,I-ORG,150,400,401
Co,0.548731803894043,I-ORG,152,403,405
##chin,0.6892416477203369,I-LOC,153,405,409
B,0.7135939002037048,B-ORG,176,478,479
##EE,0.42067983746528625,B-LOC,177,479,481
##NA,0.5070868730545044,I-ORG,178,481,483
P,0.919903039932251,I-ORG,179,484,485
##UR,0.8811749815940857,I-ORG,180,485,487
##AT,0.6481753587722778,I-ORG,181,487,489
##HA,0.8840805888175964,I-ORG,182,489,491
##Y,0.6800420880317688,I-ORG,183,491,492
##IL,0.5387963056564331,I-ORG,184,492,494
MA,0.4769710600376129,I-ORG,185,495,497
##D,0.5498167872428894,I-ORG,186,497,498
##HA,0.6396146416664124,I-ORG,187,498,500
##VA,0.7703887224197388,I-ORG,188,500,502
Reg,0.6678184866905212,B-LOC,216,594,597
Val,0.92866450548172,I-LOC,218,600,603
##an,0.6622214913368225,I-LOC,219,603,605
##cia,0.9427995085716248,I-LOC,220,605,608
T,0.9767462015151978,B-LOC,222,610,611
##hr,0.9650024175643921,B-LOC,223,611,613
##ik,0.8413844108581543,I-LOC,224,613,615
##ka,0.9456401467323303,I-LOC,225,615,617
##kara,0.9531528353691101,I-LOC,226,617,621
T,0.9413250684738159,B-LOC,257,744,745
##hr,0.7324900031089783,B-LOC,258,745,747
##ik,0.8841603398323059,I-LOC,259,747,749
##ka,0.9515412449836731,I-LOC,260,749,751
##kara,0.9585907459259033,I-LOC,261,751,755
Municipality,0.6802204847335815,I-LOC,262,756,768
B,0.8828495740890503,B-ORG,294,911,912
##NA,0.6393706202507019,I-ORG,296,914,916
P,0.952146053314209,I-ORG,297,917,918
##UR,0.8696839213371277,I-ORG,298,918,920
##AT,0.7459388971328735,I-ORG,299,920,922
##HA,0.8864887952804565,I-ORG,300,922,924
##Y,0.8814128637313843,I-ORG,301,924,925
##IL,0.850353479385376,I-ORG,302,925,927
MA,0.6968230605125427,I-ORG,303,928,930
##D,0.6096180081367493,I-ORG,304,930,931
##HA,0.49791738390922546,I-ORG,305,931,933
##VA,0.561213493347168,I-ORG,306,933,935
English,0.9987480640411377,B-MISC,378,1179,1186
Calendar,0.5569143295288086,I-MISC,379,1187,1195
