word,score,entity,index,start,end
Ren,0.8808541893959045,I-ORG,2,6,9
Con,0.6696522235870361,I-ORG,4,13,16
##tract,0.48894569277763367,I-ORG,5,16,21
Ren,0.5071431994438171,I-ORG,25,68,71
Manila,0.9989507794380188,B-LOC,41,136,142
Antonio,0.9981625080108643,B-PER,46,160,167
Levy,0.9796140789985657,I-PER,47,168,172
S,0.9001104831695557,I-PER,48,173,174
.,0.8215804696083069,I-PER,49,174,175
In,0.9914750456809998,I-PER,50,176,178
##gles,0.9360558390617371,I-PER,51,178,182
Jr,0.9139170050621033,I-PER,53,184,186
Mary,0.9794131517410278,B-PER,58,195,199
Rose,0.6668273210525513,I-PER,59,200,204
C,0.48276486992836,I-PER,60,205,206
In,0.952887237071991,I-PER,62,208,210
##gles,0.5980894565582275,I-PER,63,210,214
Unit,0.43013209104537964,B-LOC,75,267,271
E,0.8075123429298401,B-ORG,77,277,278
##GI,0.4729198217391968,I-ORG,78,278,280
Taft,0.5568586587905884,I-LOC,79,281,285
Tower,0.947426438331604,I-LOC,80,286,291
Taft,0.9735801219940186,B-LOC,83,297,301
Avenue,0.992230236530304,I-LOC,84,302,308
Mal,0.9909029006958008,B-LOC,86,310,313
##ate,0.9965221285820007,I-LOC,87,313,316
Manila,0.9993506073951721,B-LOC,89,318,324
Man,0.951384425163269,B-LOC,131,452,455
##gan,0.932118833065033,I-LOC,132,455,458
##ese,0.9431780576705933,I-LOC,133,458,461
Road,0.9794516563415527,I-LOC,134,462,466
Pi,0.990021824836731,B-LOC,136,468,470
##lar,0.9934089183807373,I-LOC,137,470,473
Village,0.9954245686531067,I-LOC,138,474,481
Las,0.9906169772148132,B-LOC,140,483,486
Pi,0.9972366690635681,I-LOC,141,487,489
##nas,0.997181236743927,I-LOC,142,489,492
Metro,0.9987151026725769,B-LOC,144,494,499
Manila,0.9983392357826233,I-LOC,145,500,506
GE,0.5648230910301208,B-LOC,181,631,633
O,0.44741714000701904,I-LOC,186,641,642
GA,0.38662558794021606,I-ORG,188,644,646
Antonio,0.9934213161468506,B-PER,204,678,685
Levy,0.9630611538887024,I-PER,205,686,690
S,0.8538856506347656,I-PER,206,691,692
In,0.9708029627799988,I-PER,208,694,696
##gles,0.8333726525306702,I-PER,209,696,700
Jr,0.7411428093910217,I-PER,211,702,704
Mary,0.5962198972702026,B-PER,216,713,717
Rose,0.6655223965644836,I-LOC,217,718,722
C,0.8338183760643005,I-LOC,218,723,724
In,0.8902157545089722,I-PER,220,726,728
##gles,0.6186390519142151,I-PER,221,728,732
Block,0.9080823659896851,B-LOC,236,789,794
20,0.9274230599403381,I-LOC,237,795,797
Royal,0.9518300294876099,B-LOC,239,799,804
South,0.9912042617797852,I-LOC,240,805,810
Town,0.9712606072425842,I-LOC,241,811,815
##hom,0.9755812287330627,I-LOC,242,815,818
##es,0.9756779670715332,I-LOC,243,818,820
Marcos,0.9372105002403259,B-LOC,245,822,828
Alvarez,0.9804455637931824,I-LOC,246,829,836
Avenue,0.9894939064979553,I-LOC,247,837,843
Talon,0.8640269637107849,B-LOC,249,845,850
5,0.9797099232673645,I-LOC,250,851,852
Las,0.9895886182785034,B-LOC,252,854,857
Pi,0.9976023435592651,I-LOC,253,858,860
##nas,0.9965642690658569,I-LOC,254,860,863
City,0.9975724220275879,I-LOC,255,864,868
Metro,0.9984849691390991,B-LOC,257,870,875
Manila,0.9982450008392334,I-LOC,258,876,882
