word,score,entity,index,start,end
Ash,0.9989002346992493,B-PER,32,165,168
##a,0.9450849294662476,B-PER,33,168,169
Ram,0.9967012405395508,I-PER,34,170,173
##esh,0.9666980504989624,I-PER,35,173,176
Ram,0.9930746555328369,B-PER,39,181,184
##esh,0.5888564586639404,I-PER,40,184,187
K,0.5352504253387451,I-PER,42,188,189
N,0.6081099510192871,I-ORG,44,190,191
V,0.9625017046928406,B-LOC,56,221,222
##ys,0.7986629009246826,I-LOC,57,222,224
##ya,0.9172453284263611,I-LOC,58,224,226
Bank,0.9304724931716919,I-LOC,59,227,231
Colony,0.9587512612342834,I-LOC,60,232,238
Shan,0.9428349137306213,B-LOC,62,240,244
##tin,0.9377373456954956,I-LOC,63,244,247
##ike,0.839971661567688,I-LOC,64,247,250
Ara,0.9048334360122681,B-ORG,70,261,264
##ker,0.49944302439689636,I-ORG,71,264,267
##e,0.49516355991363525,I-LOC,72,267,268
Post,0.49419835209846497,I-LOC,73,269,273
Banner,0.9933493137359619,B-LOC,75,275,281
##gh,0.9943532943725586,I-LOC,76,281,283
##att,0.9913861155509949,I-LOC,77,283,286
##a,0.993565559387207,I-LOC,78,286,287
Road,0.9918199181556702,I-LOC,79,288,292
Bangalore,0.9983479976654053,B-LOC,81,294,303
L,0.796191394329071,B-ORG,93,333,334
Sad,0.9982423782348633,B-PER,122,437,440
##asi,0.9609545469284058,I-PER,123,440,443
Deep,0.9852026104927063,I-PER,126,448,452
##ti,0.4944932162761688,I-PER,127,452,454
Sad,0.9980699419975281,B-PER,131,460,463
##asi,0.9682549238204956,I-PER,132,463,466
Kiran,0.9785064458847046,I-PER,135,471,476
K,0.6426858901977539,B-ORG,143,494,495
Colony,0.6048423051834106,I-LOC,146,498,504
Mad,0.9857199788093567,B-LOC,148,506,509
##di,0.9902529120445251,I-LOC,149,509,511
##lap,0.9723280668258667,I-LOC,150,511,514
##ale,0.9168417453765869,I-LOC,151,514,517
##m,0.45604604482650757,I-LOC,152,517,518
V,0.9950950741767883,B-LOC,154,520,521
##ish,0.979134202003479,B-LOC,155,521,524
##aka,0.9805416464805603,I-LOC,156,524,527
##pa,0.9633366465568542,I-LOC,157,527,529
##t,0.5660773515701294,I-LOC,158,529,530
##nam,0.9778692722320557,I-LOC,159,530,533
L,0.49956214427948,B-ORG,169,566,567
O,0.724686324596405,B-ORG,201,697,698
L,0.9089744091033936,B-ORG,216,744,745
L,0.9820390939712524,B-ORG,225,773,774
##ES,0.5295964479446411,I-ORG,226,774,776
L,0.973781406879425,B-ORG,267,952,953
##ES,0.5870769023895264,I-ORG,268,953,955
##SE,0.6183596849441528,I-ORG,269,955,957
##E,0.6250631809234619,I-ORG,270,957,958
English,0.9981856346130371,B-MISC,282,1012,1019
L,0.9831008911132812,B-ORG,288,1040,1041
##ES,0.8337768912315369,I-ORG,289,1041,1043
##SE,0.8151662349700928,I-ORG,290,1043,1045
##E,0.6998220086097717,I-ORG,291,1045,1046
L,0.9587660431861877,B-ORG,296,1070,1071
##ES,0.8360467553138733,B-ORG,297,1071,1073
L,0.9732350707054138,B-ORG,330,1178,1179
##ES,0.4688352942466736,B-ORG,331,1179,1181
##SO,0.5387285351753235,I-ORG,332,1181,1183
##R,0.5076560378074646,I-ORG,333,1183,1184
L,0.979153573513031,B-ORG,342,1220,1221
##ES,0.5168482661247253,I-ORG,343,1221,1223
##SO,0.5472394824028015,I-ORG,344,1223,1225
L,0.9438798427581787,B-ORG,352,1258,1259
L,0.7145090103149414,B-ORG,391,1418,1419
L,0.857308030128479,B-ORG,412,1528,1529
L,0.8604192137718201,B-ORG,435,1625,1626
L,0.6961206793785095,B-ORG,459,1721,1722
L,0.8653088808059692,B-ORG,491,1874,1875
