word,score,entity,index,start,end
Nam,0.9764523506164551,B-LOC,25,71,74
##ashi,0.9684063792228699,I-LOC,26,74,78
##va,0.8143554925918579,I-LOC,27,78,80
##yam,0.9838533997535706,I-LOC,28,80,83
P,0.6764770150184631,B-LOC,30,85,86
No,0.8591830730438232,I-LOC,32,90,92
182,0.516757607460022,I-LOC,34,93,96
Old,0.6895037293434143,I-LOC,42,116,119
24th,0.9696696996688843,B-LOC,44,121,125
East,0.9859897494316101,I-LOC,45,126,130
Street,0.9918878674507141,I-LOC,46,131,137
Ka,0.9885383248329163,B-LOC,48,139,141
##mara,0.7473660707473755,I-LOC,49,141,145
##j,0.9850817918777466,I-LOC,50,145,146
Nagar,0.9971954226493835,I-LOC,51,147,152
T,0.9950658082962036,B-LOC,53,154,155
##hir,0.9291097521781921,B-LOC,54,155,158
##u,0.7988389730453491,I-LOC,55,158,159
##van,0.9297047853469849,I-LOC,56,159,162
##mi,0.9898521304130554,I-LOC,57,162,164
##yu,0.9374947547912598,I-LOC,58,164,166
##r,0.9602285623550415,I-LOC,59,166,167
Chennai,0.9983156323432922,B-LOC,61,169,176
Then,0.9977850914001465,B-PER,77,236,240
##mal,0.9706252813339233,I-PER,78,240,243
##ar,0.8412424921989441,I-PER,79,243,245
W,0.9188442826271057,B-ORG,81,247,248
O,0.3662976622581482,I-ORG,83,249,250
Xavier,0.5680967569351196,I-ORG,84,251,257
Ko,0.80156010389328,B-LOC,86,259,261
##tta,0.5361567139625549,I-LOC,87,261,264
##ika,0.908484935760498,I-LOC,88,264,267
##du,0.9584549069404602,I-LOC,89,267,269
P,0.6283701658248901,B-ORG,91,271,272
V,0.9648827314376831,B-LOC,95,276,277
##ada,0.7362610697746277,I-LOC,96,277,280
##ka,0.9318139553070068,I-LOC,97,280,282
##du,0.9818704128265381,I-LOC,98,282,284
Via,0.8024464845657349,B-ORG,100,286,289
P,0.9700804352760315,B-LOC,103,292,293
##ud,0.8608784079551697,B-LOC,104,293,295
##uk,0.9610066413879395,I-LOC,105,295,297
##kot,0.9742486476898193,I-LOC,106,297,300
##tai,0.9945788383483887,I-LOC,107,300,303
P,0.3858124911785126,B-LOC,173,544,545
No,0.8208879828453064,I-LOC,175,549,551
182,0.43882063031196594,I-LOC,177,552,555
Door,0.5177017450332642,B-LOC,179,557,561
No,0.543088436126709,I-LOC,180,562,564
16,0.5311127305030823,I-LOC,181,565,567
New,0.822090208530426,I-LOC,182,568,571
Old,0.8646317720413208,I-LOC,185,575,578
24th,0.9652897119522095,B-LOC,187,580,584
East,0.9899704456329346,I-LOC,188,585,589
Street,0.9923912882804871,I-LOC,189,590,596
Ka,0.9898921251296997,B-LOC,191,598,600
##mara,0.8363077640533447,I-LOC,192,600,604
##j,0.991553544998169,I-LOC,193,604,605
Nagar,0.997725248336792,I-LOC,194,606,611
T,0.9939265847206116,B-LOC,196,613,614
##hir,0.991241455078125,B-LOC,197,614,617
##u,0.744434118270874,B-LOC,198,617,618
##van,0.961108386516571,I-LOC,199,618,621
##mi,0.9902628064155579,I-LOC,200,621,623
##yu,0.9653340578079224,I-LOC,201,623,625
##r,0.9766215085983276,I-LOC,202,625,626
