word,score,entity,index,start,end
Chennai,0.99892657995224,B-LOC,27,128,135
M,0.9968098402023315,B-PER,38,180,181
Gee,0.9972696304321289,I-PER,40,183,186
##tha,0.9265981316566467,I-PER,41,186,189
V,0.9913336634635925,B-PER,47,196,197
Man,0.98555588722229,I-PER,49,199,202
##oh,0.9557989239692688,I-PER,50,202,204
##aran,0.641387939453125,I-PER,51,204,208
Sara,0.9736829400062561,B-LOC,66,252,256
##vana,0.9201033115386963,I-LOC,67,256,260
Flat,0.9815930128097534,I-LOC,68,261,265
Floor,0.7292312979698181,I-LOC,72,272,277
Pi,0.9871826171875,B-LOC,74,279,281
##na,0.7529775500297546,I-LOC,75,281,283
##ga,0.9205837249755859,I-LOC,76,283,285
##pan,0.9680625200271606,I-LOC,77,285,288
##i,0.9680279493331909,I-LOC,78,288,289
Street,0.9789811372756958,I-LOC,79,290,296
Dev,0.992199182510376,B-LOC,81,298,301
##aki,0.9878098368644714,I-LOC,82,301,304
Nagar,0.997178316116333,I-LOC,83,305,310
Ku,0.9984437823295593,B-LOC,85,312,314
##ndra,0.9948771595954895,I-LOC,86,314,318
##th,0.9970204830169678,I-LOC,87,318,320
##ur,0.988649308681488,I-LOC,88,320,322
Chennai,0.9992039799690247,B-LOC,90,324,331
M,0.5929299592971802,B-ORG,144,560,561
Sir,0.9797874093055725,B-ORG,148,565,568
##u,0.6396592855453491,I-ORG,149,568,569
##vani,0.8173611164093018,I-ORG,150,569,573
Trade,0.9825708866119385,I-ORG,151,574,579
##rs,0.9816713929176331,I-ORG,152,579,581
Private,0.9950827360153198,I-ORG,153,582,589
Limited,0.9863325953483582,I-ORG,154,590,597
J,0.9909147024154663,B-PER,161,617,618
L,0.8351678252220154,I-PER,163,620,621
Sara,0.9936316609382629,I-PER,165,623,627
S,0.4908902049064636,I-ORG,176,659,660
Jam,0.9159554243087769,I-LOC,177,661,664
##bul,0.9819952249526978,I-LOC,178,664,667
##inga,0.8793588280677795,I-LOC,179,667,671
##m,0.3951007127761841,I-ORG,180,671,672
Jana,0.967015266418457,B-LOC,190,696,700
##ki,0.4982044994831085,I-LOC,191,700,702
##rama,0.8356542587280273,I-LOC,192,702,706
##n,0.5989894866943359,I-LOC,193,706,707
Street,0.9525718688964844,I-LOC,194,708,714
Mu,0.9714395999908447,B-LOC,196,716,718
##th,0.6650254726409912,B-LOC,197,718,720
##ura,0.937499463558197,I-LOC,198,720,723
##nga,0.9583495259284973,I-LOC,199,723,726
##m,0.9444708824157715,I-LOC,200,726,727
Block,0.9866533279418945,I-LOC,201,728,733
J,0.995030403137207,B-LOC,203,735,736
##af,0.9466469883918762,I-LOC,204,736,738
##fer,0.5633491277694702,I-LOC,205,738,741
##kha,0.991243302822113,I-LOC,206,741,744
##n,0.9892785549163818,I-LOC,207,744,745
##pet,0.9959734678268433,I-LOC,208,745,748
Ash,0.9871567487716675,B-LOC,210,750,753
##ok,0.9917400479316711,I-LOC,211,753,755
Nagar,0.9975037574768066,I-LOC,212,756,761
Chennai,0.9989372491836548,B-LOC,214,763,770
M,0.9928299188613892,B-PER,266,1003,1004
Gee,0.9951345324516296,I-PER,268,1006,1009
##tha,0.8259027600288391,I-PER,269,1009,1012
Sara,0.9589847326278687,B-LOC,284,1063,1067
##vana,0.9068849086761475,I-LOC,285,1067,1071
Flat,0.9571809768676758,I-LOC,286,1072,1076
##s,0.678134024143219,I-LOC,287,1076,1077
Floor,0.6359653472900391,I-LOC,290,1083,1088
Pi,0.9830182194709778,B-LOC,292,1090,1092
##na,0.8295350074768066,I-LOC,293,1092,1094
##ga,0.9237289428710938,I-LOC,294,1094,1096
##pan,0.9524580836296082,I-LOC,295,1096,1099
##i,0.9468027949333191,I-LOC,296,1099,1100
Street,0.9743495583534241,I-LOC,297,1101,1107
Dev,0.9862877130508423,B-LOC,299,1109,1112
##aki,0.9528961181640625,I-LOC,300,1112,1115
Nagar,0.9945730566978455,I-LOC,301,1116,1121
Ku,0.997062623500824,B-LOC,303,1123,1125
##ndra,0.993581235408783,I-LOC,304,1125,1129
##th,0.9971874952316284,I-LOC,305,1129,1131
##ur,0.9965535998344421,I-LOC,306,1131,1133
Chennai,0.9991468787193298,B-LOC,308,1135,1142
Floor,0.5123672485351562,I-ORG,340,1289,1294
Street,0.778586208820343,I-LOC,483,1852,1858
Nagar,0.935238242149353,I-LOC,487,1867,1872
Chennai,0.9944433569908142,B-LOC,494,1886,1893
