word,score,entity,index,start,end
I,0.8789973258972168,B-ORG,22,71,72
J,0.5144988298416138,B-ORG,41,124,125
I,0.8203182220458984,B-ORG,50,137,138
”,0.6074375510215759,B-ORG,67,181,182
Property,0.7668457627296448,I-ORG,68,184,192
Land,0.9320031404495239,I-ORG,69,194,198
##lord,0.9376471042633057,I-ORG,70,198,202
J,0.9809874892234802,B-ORG,101,323,324
##alan,0.6583929657936096,I-ORG,102,324,328
Tam,0.3224407732486725,B-LOC,107,339,342
S,0.5307592153549194,B-ORG,118,364,365
R,0.7618212103843689,B-MISC,151,484,485
