word,score,entity,index,start,end
Agreement,0.8738132119178772,I-MISC,17,36,45
Lea,0.8340726494789124,I-ORG,21,61,64
S,0.509579598903656,B-ORG,44,193,194
##HA,0.5821040868759155,I-ORG,46,195,197
##IM,0.48469966650009155,I-ORG,47,197,199
MI,0.8906775712966919,I-ORG,66,237,239
##CH,0.7699912190437317,I-ORG,67,239,241
##A,0.7406841516494751,I-ORG,68,241,242
M,0.7850319147109985,B-PER,92,300,301
Z,0.9023701548576355,I-LOC,101,317,318
##A,0.9239465594291687,I-LOC,102,318,319
##KA,0.4706946313381195,I-ORG,103,319,321
##RI,0.7282883524894714,I-LOC,104,321,323
O,0.9766046404838562,B-ORG,125,398,399
##W,0.8089295029640198,I-ORG,126,399,400
##NE,0.867764949798584,I-ORG,127,400,402
##R,0.6496680378913879,I-ORG,128,402,403
O,0.7598322033882141,B-ORG,154,477,478
J,0.5731871128082275,B-ORG,178,560,561
##AL,0.48058366775512695,I-ORG,179,561,563
T,0.6151509881019592,B-ORG,191,583,584
##U,0.4345194697380066,B-ORG,192,584,585
##AN,0.6023672223091125,I-ORG,194,587,589
SA,0.8942253589630127,B-LOC,199,606,608
R,0.7870501279830933,B-MISC,216,654,655
O,0.8861523866653442,B-ORG,296,1001,1002
O,0.97548907995224,B-ORG,370,1285,1286
##W,0.8304840326309204,I-ORG,371,1286,1287
##NE,0.8981959223747253,I-ORG,372,1287,1289
##R,0.8215975761413574,I-ORG,373,1289,1290
