word,score,entity,index,start,end
Agreement,0.8902978897094727,I-MISC,11,25,34
Hyderabad,0.9990293979644775,B-LOC,29,91,100
Ra,0.6140034198760986,B-LOC,57,154,156
##iah,0.33770063519477844,I-LOC,59,159,162
J,0.6087444424629211,B-LOC,80,201,202
##NE,0.462376207113266,I-LOC,85,208,210
##TL,0.33753249049186707,I-ORG,86,210,212
Ra,0.9259636402130127,B-LOC,89,217,219
##nga,0.4737963378429413,I-LOC,90,219,222
Reddy,0.8500468134880066,I-LOC,91,223,228
District,0.507341742515564,I-LOC,92,229,237
MA,0.5160999894142151,B-PER,109,282,284
B,0.48921534419059753,B-PER,116,293,294
S,0.4781496524810791,B-ORG,126,309,310
MA,0.63462233543396,B-PER,130,313,315
S,0.39436861872673035,B-LOC,137,324,325
##BB,0.4527418315410614,I-ORG,139,326,328
J,0.840876579284668,B-LOC,164,371,372
##ME,0.5241629481315613,I-LOC,167,376,378
##TL,0.4019840657711029,I-LOC,168,378,380
Ra,0.9719804525375366,B-LOC,171,384,386
##nga,0.39660459756851196,I-LOC,172,386,389
Reddy,0.9315029382705688,I-LOC,173,390,395
RA,0.9605777263641357,B-LOC,226,565,567
House,0.3601764440536499,B-LOC,259,672,677
Agreement,0.8569706678390503,I-MISC,358,1045,1054
