word,score,entity,index,start,end
Per,0.569013237953186,B-ORG,4,18,21
##jan,0.7604204416275024,I-ORG,5,21,24
##ji,0.7029643058776855,I-ORG,6,24,26
##an,0.7602657079696655,I-ORG,7,26,28
Ko,0.7770491242408752,I-ORG,8,29,31
##nt,0.7884252667427063,I-ORG,9,31,33
##rak,0.8266496658325195,I-ORG,10,33,36
Pen,0.7890267968177795,I-ORG,11,37,40
D,0.6426968574523926,B-MISC,25,80,81
CH,0.39820435643196106,I-ORG,164,437,439
P,0.4175157845020294,I-ORG,167,443,444
O,0.4262867569923401,B-ORG,301,923,924
J,0.8805747032165527,B-MISC,347,1102,1103
