word,score,entity,index,start,end
John,0.9791460037231445,B-PER,16,75,79
Public,0.9847603440284729,I-PER,17,80,86
Happy,0.9716818928718567,B-LOC,24,107,112
##town,0.9886239171028137,I-LOC,25,112,116
Tennessee,0.9990030527114868,B-LOC,27,118,127
Ten,0.6807498931884766,B-ORG,36,158,161
La,0.9980629086494446,B-ORG,40,171,173
##go,0.9930611848831177,B-ORG,41,173,175
##on,0.995560884475708,I-ORG,42,175,177
Landing,0.9985340237617493,I-ORG,43,178,185
##s,0.997112512588501,I-ORG,44,185,186
LLC,0.9933736324310303,I-ORG,45,187,190
Land,0.7769954204559326,B-ORG,52,215,219
##lord,0.9248552918434143,I-ORG,53,219,223
Thomas,0.8655880093574524,B-LOC,68,290,296
Drive,0.9903064370155334,I-LOC,69,297,302
Unit,0.7924403548240662,B-LOC,71,304,308
Panama,0.9962604641914368,B-LOC,75,314,320
City,0.998709499835968,I-LOC,76,321,325
Beach,0.9989783763885498,I-LOC,77,326,331
Florida,0.9994494915008545,B-LOC,79,333,340
