word,score,entity,index,start,end
Bangalore,0.9986711740493774,B-LOC,20,108,117
T,0.976345419883728,B-PER,36,177,178
RA,0.6578661799430847,I-PER,38,179,181
##D,0.33123698830604553,I-ORG,39,181,182
K,0.6810670495033264,I-LOC,41,185,186
##RI,0.4154511094093323,B-LOC,42,186,188
##S,0.5375612378120422,I-LOC,43,188,189
##H,0.8312284350395203,I-LOC,44,189,190
##NA,0.7060176134109497,I-LOC,45,190,192
No,0.48335909843444824,I-LOC,47,195,197
He,0.8814067840576172,B-LOC,56,213,215
##mal,0.6047925353050232,I-LOC,57,215,218
##aya,0.691469132900238,I-LOC,58,218,221
Golf,0.47702690958976746,B-LOC,61,224,228
Mu,0.9919053912162781,B-LOC,64,241,243
##rug,0.9564337134361267,I-LOC,65,243,246
##esh,0.9835100173950195,I-LOC,66,246,249
##pal,0.9906312823295593,I-LOC,67,249,252
##ya,0.9868171215057373,I-LOC,68,252,254
Bangalore,0.9987964034080505,B-LOC,70,256,265
AI,0.8892344236373901,B-PER,92,332,334
##RA,0.49958741664886475,I-ORG,99,345,347
R,0.4656231999397278,B-LOC,108,358,359
S,0.7227964401245117,I-LOC,110,360,361
S,0.6500615477561951,I-LOC,112,362,363
##hara,0.7666143774986267,I-LOC,113,363,367
Ban,0.9404675960540771,B-LOC,127,402,405
##ash,0.9515343308448792,I-LOC,128,405,408
##an,0.9746788144111633,I-LOC,129,408,410
##kari,0.6712816953659058,I-LOC,130,410,414
Kat,0.9846455454826355,B-LOC,134,427,430
##hi,0.9894835948944092,I-LOC,135,430,432
##gu,0.9803369045257568,I-LOC,136,432,434
##ppe,0.8019235730171204,I-LOC,137,434,437
Bangalore,0.9978088140487671,B-LOC,139,439,448
i,0.7465217709541321,B-ORG,162,502,503
Technologies,0.8264917731285095,I-ORG,164,505,517
India,0.9974625110626221,I-ORG,165,518,523
P,0.9756481647491455,I-ORG,166,524,525
##v,0.5945302844047546,I-ORG,167,525,526
',',0.5460143685340881,I-ORG,169,527,528
Ltd,0.927615225315094,I-ORG,170,529,532
Di,0.4912935495376587,B-LOC,177,544,546
##vy,0.5082787871360779,I-ORG,178,546,548
##a,0.6660577654838562,I-ORG,179,548,549
s,0.8495859503746033,I-ORG,180,550,551
##ree,0.48837175965309143,I-ORG,181,551,554
Tech,0.8359147906303406,I-ORG,182,555,559
##no,0.8942484259605408,I-ORG,183,559,561
##polis,0.42208918929100037,I-ORG,184,561,566
Ya,0.9866918325424194,B-LOC,186,568,570
##mal,0.9717692136764526,I-LOC,187,570,573
##ur,0.9707731008529663,I-LOC,188,573,575
airport,0.84659743309021,B-LOC,192,586,593
Road,0.6263395547866821,I-LOC,193,594,598
Bangalore,0.9979790449142456,B-LOC,195,600,609
English,0.9514469504356384,B-MISC,391,1385,1392
