word,score,entity,index,start,end
LA,0.9954749345779419,B-LOC,28,59,61
##NG,0.4451460838317871,I-LOC,29,61,63
##KA,0.9050027132034302,I-LOC,30,63,65
##WI,0.4054749608039856,B-LOC,31,65,67
K,0.7953291535377502,B-ORG,33,69,70
##ED,0.7775570750236511,I-ORG,34,70,72
##A,0.6910969614982605,I-ORG,35,72,73
MA,0.712189257144928,I-LOC,43,86,88
##SI,0.4585045576095581,I-ORG,46,91,93
##A,0.5309357643127441,I-ORG,47,93,94
R,0.4778323173522949,B-ORG,57,125,126
##OH,0.4217585027217865,I-ORG,58,126,128
##AN,0.667392909526825,I-ORG,59,128,130
B,0.699171245098114,I-ORG,61,132,133
##IN,0.7049624919891357,I-ORG,62,133,135
##TI,0.5249701142311096,I-ORG,63,135,137
IS,0.5811396837234497,I-ORG,64,138,140
MA,0.4948384463787079,B-ORG,68,146,148
I,0.8105742335319519,I-ORG,73,156,157
C,0.8123952150344849,I-ORG,75,158,159
O,0.2892896831035614,B-PER,178,414,415
K,0.3402574956417084,B-ORG,205,482,483
N,0.4565812647342682,I-ORG,212,491,492
LA,0.9883406758308411,B-LOC,226,519,521
##NG,0.5117175579071045,I-LOC,227,521,523
K,0.6105644702911377,B-ORG,231,529,530
##ED,0.4627693295478821,I-ORG,232,530,532
##A,0.600674569606781,I-ORG,233,532,533
AM,0.5285009741783142,I-ORG,239,541,543
Ring,0.5196921825408936,B-LOC,367,1001,1005
Malaysia,0.2718246877193451,I-ORG,369,1009,1017
Malaysia,0.9664483070373535,B-LOC,423,1191,1199
