word,score,entity,index,start,end
B,0.9839644432067871,B-PER,35,127,128
.,0.6780922412872314,B-PER,36,128,129
Bo,0.9940745830535889,I-PER,37,130,132
##ob,0.8451718091964722,I-PER,38,132,134
##alan,0.8600040674209595,I-PER,39,134,138
Net,0.9921897053718567,B-LOC,52,179,182
##ha,0.9888432025909424,I-LOC,53,182,184
##ji,0.9842833876609802,I-LOC,54,184,186
Street,0.9352264404296875,I-LOC,55,187,193
Ok,0.939816951751709,B-LOC,57,195,197
##ki,0.9680325388908386,I-LOC,58,197,199
##yam,0.9808559417724609,I-LOC,59,199,202
Pet,0.9787912368774414,I-LOC,60,203,206
##tai,0.985353946685791,I-LOC,61,206,209
PT,0.6884158849716187,B-ORG,63,211,213
##C,0.8406093716621399,I-ORG,64,213,214
Quarter,0.9015069007873535,I-LOC,65,215,222
##s,0.8455877304077148,I-LOC,66,222,223
Chennai,0.9989185333251953,B-LOC,68,225,232
CH,0.9442788362503052,B-PER,94,303,305
V,0.5591431260108948,B-ORG,99,311,312
##H,0.467849999666214,I-ORG,104,319,320
Net,0.994845449924469,B-LOC,123,364,367
##ha,0.9941271543502808,I-LOC,124,367,369
##ji,0.9871435761451721,I-LOC,125,369,371
Street,0.9664878249168396,I-LOC,126,372,378
Ok,0.9810424447059631,B-LOC,128,380,382
##ki,0.9897472262382507,I-LOC,129,382,384
##yam,0.9929182529449463,I-LOC,130,384,387
Pet,0.9927446246147156,I-LOC,131,388,391
##tai,0.9949906468391418,I-LOC,132,391,394
PT,0.7005954384803772,B-LOC,134,396,398
##C,0.506801962852478,I-LOC,135,398,399
Quarter,0.9744824767112732,I-LOC,136,400,407
##s,0.9653542637825012,I-LOC,137,407,408
Chennai,0.9988014698028564,B-LOC,139,410,417
English,0.9994916319847107,B-MISC,315,1106,1113
