word,score,entity,index,start,end
IN,0.9632766842842102,B-ORG,1,0,2
##DI,0.8524289727210999,I-ORG,2,2,4
##A,0.8430390357971191,I-ORG,3,4,5
NO,0.9632077813148499,I-ORG,4,6,8
J,0.8429082632064819,I-ORG,6,10,11
##U,0.7721765637397766,I-ORG,7,11,12
##CI,0.9632609486579895,I-ORG,9,14,16
##AL,0.9630120396614075,I-ORG,10,16,18
Government,0.9848024249076843,I-ORG,11,20,30
of,0.9878265261650085,I-ORG,12,31,33
Karnataka,0.9700488448143005,I-ORG,13,34,43
##UM,0.817827582359314,B-LOC,59,123,125
K,0.48457470536231995,B-ORG,73,143,144
##A,0.6405603885650635,B-LOC,74,144,145
##KA,0.861352264881134,I-ORG,75,145,147
##KS,0.979961097240448,I-ORG,76,147,149
##CU,0.9266635775566101,I-ORG,77,149,151
N,0.4467555582523346,B-LOC,95,174,175
##AG,0.5570155382156372,I-ORG,96,175,177
##AV,0.7266272306442261,I-ORG,97,177,179
##EN,0.7112810611724854,I-ORG,98,179,181
N,0.7610043883323669,B-ORG,104,190,191
##AR,0.4464972913265228,B-LOC,105,191,193
##A,0.5482763051986694,I-ORG,106,193,194
##Y,0.6756342649459839,I-ORG,107,194,195
##AN,0.7649926543235779,I-ORG,108,195,197
N,0.8407250046730042,B-ORG,133,256,257
##AR,0.6979385018348694,B-LOC,134,257,259
##A,0.6383498311042786,I-ORG,135,259,260
##Y,0.8160732388496399,I-ORG,136,260,261
##AN,0.9325289130210876,I-ORG,137,261,263
N,0.6885049343109131,B-ORG,149,283,284
##AR,0.47584614157676697,B-LOC,150,284,286
##A,0.6460009813308716,I-ORG,151,286,287
##Y,0.6985924243927002,I-ORG,152,287,288
##AN,0.7823832035064697,I-ORG,153,288,290
N,0.5121206641197205,B-LOC,157,296,297
##AG,0.4008030295372009,I-LOC,158,297,299
##AV,0.4877912402153015,I-ORG,159,299,301
N,0.8362193703651428,B-ORG,166,312,313
##AR,0.4917515218257904,I-ORG,167,313,315
##A,0.9085056781768799,I-ORG,168,315,316
##Y,0.8988476991653442,I-ORG,169,316,317
##AN,0.9631545543670654,I-ORG,170,317,319
Na,0.5812533497810364,I-ORG,212,501,503
##ga,0.6095281839370728,I-ORG,213,503,505
##ven,0.45159250497817993,I-ORG,214,505,508
Van,0.9880501627922058,B-LOC,227,546,549
##as,0.9711611270904541,I-LOC,228,549,551
##uma,0.8951692581176758,I-LOC,229,551,554
##lay,0.6389291286468506,B-LOC,231,557,560
Tu,0.8300273418426514,I-LOC,233,562,564
##m,0.6472694873809814,I-LOC,234,564,565
##ku,0.7160686254501343,I-LOC,235,565,567
##r,0.6268122792243958,I-LOC,236,567,568
Cross,0.5500578880310059,I-ORG,243,593,598
Mad,0.9280775785446167,B-PER,249,616,619
S,0.42222246527671814,B-LOC,259,657,658
##spur,0.8954957127571106,I-LOC,260,658,662
Tu,0.48223626613616943,I-LOC,262,665,667
T,0.5292035937309265,B-ORG,310,787,788
##AN,0.6137408018112183,I-ORG,312,790,792
English,0.9572981595993042,B-MISC,386,1067,1074
