word,score,entity,index,start,end
Les,0.9949784874916077,B-ORG,3,3,6
##con,0.9113865494728088,I-ORG,4,6,9
##ges,0.9947660565376282,I-ORG,6,13,16
Help,0.9957833886146545,I-ORG,7,17,21
Des,0.9980422258377075,I-ORG,8,22,25
##k,0.9940668344497681,I-ORG,9,25,26
Des,0.980695903301239,B-ORG,51,223,226
##k,0.9775835275650024,I-ORG,52,226,227
SH,0.35713452100753784,B-LOC,146,498,500
VI,0.7109811902046204,B-LOC,164,533,535
##Y,0.40934351086616516,I-ORG,166,537,538
##A,0.3951316773891449,I-ORG,167,538,539
CH,0.6476130485534668,B-ORG,174,550,552
##IN,0.3428359925746918,I-ORG,175,552,554
##NA,0.5479235053062439,I-ORG,176,554,556
##PA,0.41216984391212463,I-ORG,177,556,558
##N,0.6532447338104248,I-ORG,178,558,559
##NA,0.6528375148773193,I-ORG,179,559,561
MA,0.6833450198173523,B-LOC,184,567,569
##RA,0.2827838361263275,I-ORG,185,569,571
##TH,0.49329331517219543,I-ORG,186,571,573
##A,0.5435280203819275,I-ORG,187,573,574
##LL,0.5202120542526245,I-ORG,189,576,578
BA,0.971497654914856,B-LOC,192,580,582
VI,0.8181000351905823,B-LOC,212,627,629
CH,0.3796885013580322,I-ORG,215,633,635
##AN,0.5064718723297119,I-LOC,216,635,637
##DR,0.45904994010925293,I-LOC,217,637,639
VI,0.755186915397644,B-LOC,241,684,686
##NA,0.4595823884010315,B-LOC,242,686,688
##Y,0.4366302490234375,I-LOC,243,688,689
##A,0.532337486743927,I-LOC,244,689,690
CH,0.6684391498565674,B-ORG,251,700,702
##NA,0.44911298155784607,I-ORG,253,704,706
##N,0.5671629905700684,I-ORG,255,708,709
##NA,0.5927297472953796,I-ORG,256,709,711
MA,0.3619690239429474,B-LOC,261,716,718
##TH,0.49311763048171997,I-ORG,263,720,722
##A,0.5086560845375061,I-ORG,264,722,723
BA,0.9734798669815063,B-LOC,269,729,731
VI,0.7237791419029236,B-LOC,316,872,874
##NA,0.4531119763851166,I-LOC,317,874,876
##Y,0.3255661129951477,I-ORG,318,876,877
##A,0.3567362427711487,I-LOC,319,877,878
CH,0.5016614198684692,B-ORG,327,888,890
##NA,0.42145246267318726,I-ORG,329,892,894
##N,0.4405551254749298,I-ORG,331,896,897
##NA,0.5582805275917053,I-ORG,332,897,899
MA,0.5572066307067871,B-LOC,337,904,906
##TH,0.446593314409256,I-ORG,339,908,910
##A,0.603759229183197,I-ORG,340,910,911
BA,0.9857949018478394,B-LOC,345,917,919
