word,score,entity,index,start,end
City,0.8664557933807373,B-LOC,74,169,173
O,0.998086154460907,B-LOC,76,177,178
##long,0.9909948110580444,I-LOC,77,178,182
##ap,0.9954139590263367,I-LOC,78,182,184
##o,0.9973956942558289,I-LOC,79,184,185
City,0.9965454339981079,I-LOC,80,186,190
Philippines,0.9997173547744751,B-LOC,82,192,203
Filipino,0.9955556392669678,B-MISC,114,295,303
20th,0.7329092025756836,B-LOC,127,353,357
Jon,0.42366552352905273,I-LOC,128,358,361
##son,0.8732664585113525,I-LOC,129,361,364
St,0.9798551797866821,I-LOC,130,365,367
.,0.6029549837112427,I-LOC,131,367,368
East,0.9793393015861511,B-LOC,133,370,374
Baja,0.9975283741950989,I-LOC,134,375,379
##c,0.9892252087593079,I-LOC,135,379,380
Baja,0.9752002954483032,B-LOC,137,382,386
##c,0.9890523552894592,I-LOC,138,386,387
O,0.9961621761322021,B-LOC,140,389,390
##long,0.9745975732803345,I-LOC,141,390,394
##ap,0.9863554239273071,I-LOC,142,394,396
##o,0.9954479336738586,I-LOC,143,396,397
City,0.9873461127281189,I-LOC,144,398,402
LA,0.44873639941215515,B-LOC,152,434,436
J,0.34774407744407654,B-LOC,161,452,453
JR,0.5355421304702759,B-LOC,181,490,492
Magdalena,0.9168935418128967,B-ORG,207,584,593
Homes,0.4759597182273865,I-LOC,208,594,599
St,0.9856219291687012,B-LOC,210,601,603
##o,0.9957841038703918,I-LOC,211,603,604
.,0.9753305315971375,I-LOC,212,604,605
Tomas,0.9963761568069458,I-LOC,213,606,611
Sub,0.963106632232666,B-LOC,215,613,616
##ic,0.8397491574287415,I-LOC,216,616,618
Z,0.9874733090400696,B-LOC,218,620,621
##am,0.9893110394477844,I-LOC,219,621,623
##bal,0.7396989464759827,I-LOC,220,623,626
##es,0.9526566863059998,I-LOC,221,626,628
LA,0.8500317335128784,B-ORG,250,703,705
##ND,0.661361575126648,I-ORG,251,705,707
##L,0.6425367593765259,I-ORG,252,707,708
Magdalena,0.9588492512702942,B-ORG,290,813,822
Homes,0.7738276124000549,I-ORG,291,823,828
St,0.9822816252708435,B-LOC,293,830,832
##o,0.9926450848579407,I-LOC,294,832,833
.,0.9421705603599548,I-LOC,295,833,834
Tomas,0.9939846396446228,I-LOC,296,835,840
Su,0.9446742534637451,B-LOC,298,842,844
##ib,0.9199522137641907,I-LOC,299,844,846
##c,0.6753570437431335,I-LOC,300,846,847
Z,0.9880368709564209,B-LOC,302,849,850
##am,0.9862945079803467,I-LOC,303,850,852
##bal,0.7101752161979675,I-LOC,304,852,855
##es,0.8376137614250183,I-LOC,305,855,857
LA,0.7880384922027588,B-ORG,314,873,875
##ND,0.5452082753181458,I-ORG,315,875,877
##L,0.5096888542175293,I-ORG,316,877,878
LA,0.8344243764877319,B-ORG,364,1048,1050
