word,score,entity,index,start,end
M,0.9893026947975159,B-PER,35,116,117
V,0.760429859161377,I-PER,37,118,119
Sri,0.9979064464569092,I-PER,39,121,124
##ni,0.47795215249061584,I-PER,40,124,126
##vas,0.5237300395965576,I-ORG,41,126,129
M,0.9372291564941406,B-PER,43,132,133
V,0.5223265290260315,I-PER,45,134,135
Mad,0.988407552242279,I-PER,47,137,140
##hum,0.3229183554649353,I-PER,48,140,143
##ath,0.6520466804504395,I-PER,49,143,146
No,0.5773588418960571,B-LOC,60,187,189
7th,0.7410879135131836,B-LOC,64,194,197
Cross,0.8805570602416992,I-LOC,65,198,203
Shiva,0.9889963269233704,B-LOC,67,206,211
##nan,0.9781712889671326,I-LOC,68,211,214
##dan,0.9796223044395447,I-LOC,69,214,217
##aga,0.9567196369171143,I-LOC,70,217,220
##r,0.942568302154541,I-LOC,71,220,221
Mo,0.9907471537590027,B-LOC,73,223,225
##oda,0.5130012035369873,I-LOC,74,225,228
##lap,0.912013590335846,I-LOC,75,228,231
##aly,0.952438235282898,I-LOC,76,231,234
##a,0.9746582508087158,I-LOC,77,234,235
Bangalore,0.9986145496368408,B-LOC,79,237,246
M,0.9902616739273071,B-PER,110,344,345
T,0.7577539682388306,I-PER,114,349,350
M,0.9981658458709717,B-PER,124,372,373
V,0.9750341773033142,I-PER,126,374,375
V,0.9942849278450012,I-PER,128,377,378
##en,0.7186951637268066,I-PER,129,378,380
##kata,0.9609500765800476,I-PER,130,380,384
##rama,0.9011123180389404,I-PER,131,384,388
##iah,0.77663254737854,I-PER,132,388,391
7th,0.7353506684303284,B-LOC,144,432,435
Cross,0.8204059600830078,I-LOC,145,436,441
Shiva,0.9879004955291748,B-LOC,147,444,449
##nan,0.9885817170143127,I-LOC,148,449,452
##dan,0.9905786514282227,I-LOC,149,452,455
##aga,0.9867575168609619,I-LOC,150,455,458
##r,0.973909854888916,I-LOC,151,458,459
Mo,0.9914918541908264,B-LOC,153,461,463
##oda,0.6383548974990845,I-LOC,154,463,466
##lap,0.9140227437019348,I-LOC,155,466,469
##aly,0.9655501246452332,I-LOC,156,469,472
##a,0.9681440591812134,I-LOC,157,472,473
Bangalore,0.998292863368988,B-LOC,159,475,484
First,0.7057077884674072,B-ORG,207,691,696
Party,0.4847800135612488,I-ORG,208,697,702
