word,score,entity,index,start,end
Bangalore,0.9983081221580505,B-LOC,20,70,79
MR,0.6813092231750488,B-ORG,29,103,105
P,0.3517032563686371,B-PER,31,107,108
RA,0.2670542597770691,B-LOC,33,110,112
##J,0.8704986572265625,I-ORG,34,112,113
##A,0.536674439907074,I-ORG,35,113,114
SE,0.42236584424972534,I-ORG,36,115,117
##K,0.59913170337677,I-ORG,37,117,118
MR,0.6619112491607666,B-ORG,52,145,147
K,0.5044270753860474,I-ORG,54,148,149
##RI,0.7019386291503906,I-ORG,55,149,151
##S,0.7456123232841492,I-ORG,56,151,152
##H,0.41709989309310913,I-ORG,57,152,153
##NA,0.6314845681190491,I-ORG,58,153,155
PA,0.8062923550605774,I-ORG,59,156,158
##RA,0.6862905621528625,I-ORG,60,158,160
##MA,0.6035976409912109,I-ORG,61,160,162
##TM,0.900783896446228,I-ORG,62,162,164
##A,0.5656189322471619,I-ORG,63,164,165
P,0.829167902469635,I-ORG,64,166,167
##TA,0.573203444480896,I-ORG,66,169,171
##KO,0.8338587880134583,I-ORG,67,171,173
##TA,0.5981714725494385,I-ORG,68,173,175
NE,0.5063048601150513,B-LOC,72,181,183
RA,0.6943908333778381,I-LOC,75,188,190
V,0.4652543365955353,B-LOC,120,296,297
B,0.5490073561668396,I-ORG,124,304,305
##H,0.49586883187294006,I-ORG,175,396,397
##AD,0.5811560750007629,I-ORG,178,402,404
RA,0.5812754034996033,B-ORG,187,416,418
##G,0.8049122095108032,I-ORG,188,418,419
##HA,0.7374206185340881,I-ORG,189,419,421
##VE,0.8404980897903442,I-ORG,190,421,423
##ND,0.8864675760269165,I-ORG,191,423,425
##RA,0.7376599907875061,I-ORG,192,425,427
RA,0.5724594593048096,I-ORG,193,428,430
CO,0.6043668389320374,B-LOC,202,445,447
##OL,0.4865736663341522,I-ORG,212,460,462
