word,score,entity,index,start,end
Chennai,0.9986477494239807,B-LOC,25,117,124
P,0.9995689988136292,B-PER,39,172,173
Johnson,0.996514081954956,I-PER,41,175,182
##R,0.9233953952789307,I-PER,42,182,183
##avi,0.9902017712593079,B-PER,43,183,186
##kumar,0.9535524845123291,I-PER,44,186,191
P,0.46387937664985657,B-LOC,53,226,227
No,0.5301902890205383,I-LOC,56,232,234
Door,0.719502866268158,B-LOC,60,240,244
No,0.6478397846221924,I-LOC,61,245,247
Je,0.9887386560440063,B-LOC,65,251,253
##eva,0.5191707015037537,B-LOC,66,253,256
##nant,0.8742450475692749,I-LOC,67,256,260
##ham,0.9684976935386658,I-LOC,68,260,263
Street,0.9501838088035583,I-LOC,69,264,270
Lakshmi,0.9878323674201965,B-LOC,71,272,279
##puram,0.9952404499053955,I-LOC,72,279,284
T,0.996464729309082,I-LOC,73,285,286
##ir,0.9434250593185425,I-LOC,74,286,288
##u,0.8856958150863647,I-LOC,75,288,289
##van,0.823095440864563,I-LOC,76,289,292
##mi,0.9926820397377014,I-LOC,77,292,294
##yu,0.9581272006034851,I-LOC,78,294,296
##r,0.947746992111206,I-LOC,79,296,297
Chennai,0.9992954730987549,B-LOC,81,299,306
Sara,0.9943104386329651,B-PER,118,427,431
P,0.6027576923370361,B-LOC,130,473,474
Je,0.9884093999862671,B-LOC,142,498,500
##eva,0.508440375328064,B-LOC,143,500,503
##nant,0.916188657283783,I-LOC,144,503,507
##ham,0.975986123085022,I-LOC,145,507,510
Street,0.9566319584846497,I-LOC,146,511,517
Lakshmi,0.9929127097129822,B-LOC,148,519,526
##puram,0.9964305758476257,I-LOC,149,526,531
T,0.9972912669181824,I-LOC,150,532,533
##ir,0.9732884764671326,I-LOC,151,533,535
##u,0.7994937896728516,I-LOC,152,535,536
##van,0.8330135345458984,I-LOC,153,536,539
##mi,0.9923108220100403,I-LOC,154,539,541
##yu,0.9441058039665222,I-LOC,155,541,543
##r,0.9191072583198547,I-LOC,156,543,544
Chennai,0.99896240234375,B-LOC,158,546,553
Je,0.9922134876251221,B-LOC,264,936,938
##eva,0.46167999505996704,I-LOC,265,938,941
##nant,0.9575501680374146,I-LOC,266,941,945
##ham,0.9886305332183838,I-LOC,267,945,948
Street,0.9775781035423279,I-LOC,268,949,955
Lakshmi,0.989880383014679,B-LOC,270,957,964
##puram,0.9960162043571472,I-LOC,271,964,969
T,0.9974455237388611,I-LOC,272,970,971
##ir,0.7205936908721924,I-LOC,273,971,973
##van,0.5468047857284546,I-LOC,275,974,977
##mi,0.9850879311561584,I-LOC,276,977,979
##yu,0.8982056975364685,I-LOC,277,979,981
##r,0.868634045124054,I-LOC,278,981,982
Chennai,0.998917281627655,B-LOC,280,984,991
English,0.9354798793792725,B-MISC,389,1402,1409
