word,score,entity,index,start,end
Chennai,0.998729407787323,B-LOC,29,131,138
AR,0.977270781993866,B-PER,42,184,186
S,0.9517197012901306,I-PER,44,188,189
A,0.9973039627075195,B-PER,59,228,229
##rum,0.6390333771705627,B-PER,60,229,232
##m,0.5152993202209473,I-PER,62,235,236
Anand,0.94208163022995,B-LOC,70,257,262
##ara,0.9269170165061951,I-LOC,71,262,265
##ja,0.9579341411590576,I-LOC,72,265,267
Nagar,0.9950591325759888,I-LOC,73,268,273
S,0.9748439788818359,B-LOC,75,275,276
Ko,0.8886194825172424,I-LOC,77,277,279
##di,0.4749542474746704,I-LOC,78,279,281
##ku,0.464931845664978,I-LOC,79,281,283
##lam,0.9837172031402588,I-LOC,80,283,286
K,0.9930347204208374,B-ORG,82,288,289
.,0.7521065473556519,I-ORG,83,289,290
P,0.9957503080368042,I-ORG,84,290,291
##ud,0.9679623246192932,I-ORG,85,291,293
##ur,0.9732314944267273,I-ORG,86,293,295
Post,0.9918182492256165,I-ORG,87,296,300
Mad,0.9889863133430481,B-LOC,89,302,305
##urai,0.9953628778457642,I-LOC,90,305,309
P,0.976445734500885,B-PER,115,379,380
E,0.9989472031593323,B-PER,132,423,424
.,0.8696416616439819,B-PER,133,424,425
P,0.9531959295272827,I-PER,134,425,426
Pa,0.9978278875350952,I-PER,136,428,430
##lani,0.9725961685180664,I-PER,137,430,434
##ap,0.9279502630233765,I-PER,138,434,436
##pan,0.6913654804229736,I-PER,139,436,439
Finance,0.9841052889823914,B-ORG,143,451,458
Un,0.9954392910003662,I-ORG,144,459,461
##ip,0.9938169717788696,I-ORG,145,461,463
##res,0.9942097067832947,I-ORG,146,463,466
India,0.9986258149147034,I-ORG,147,467,472
P,0.9974934458732605,I-ORG,148,473,474
##v,0.9563563466072083,I-ORG,149,474,475
##t,0.9904190897941589,I-ORG,150,475,476
.,0.8483139872550964,I-ORG,151,476,477
Ltd,0.9903068542480469,I-ORG,152,478,481
Or,0.9971253275871277,B-LOC,155,484,486
##aga,0.9939868450164795,I-LOC,156,486,489
##dam,0.9938217401504517,I-LOC,157,489,492
Chennai,0.9992010593414307,B-LOC,159,494,501
the,0.5440144538879395,I-ORG,246,798,801
Floor,0.5014529228210449,I-LOC,268,881,886
Su,0.6723724007606506,I-LOC,282,925,927
##dha,0.41236308217048645,I-ORG,283,927,930
Raja,0.9919490814208984,B-LOC,288,939,943
##ki,0.9648879170417786,I-LOC,289,943,945
##l,0.9594016075134277,I-LOC,290,945,946
##pa,0.9798574447631836,I-LOC,291,946,948
##kka,0.9772070050239563,I-LOC,292,948,951
##m,0.9632692337036133,I-LOC,293,951,952
Chennai,0.9982683062553406,B-LOC,295,954,961
O,0.857215404510498,B-ORG,308,1008,1009
O,0.858372151851654,B-ORG,368,1231,1232
