word,score,entity,index,start,end
of,0.6462823152542114,I-MISC,23,56,58
MA,0.9099516272544861,I-MISC,24,59,61
##H,0.9059474468231201,I-MISC,26,63,64
VI,0.6574265956878662,B-ORG,75,223,225
ST,0.8495485782623291,I-ORG,77,228,230
H,0.9486609697341919,I-ORG,78,231,232
##ON,0.5499082207679749,I-ORG,79,232,234
##OL,0.613911509513855,I-ORG,80,234,236
S,0.9087664484977722,B-MISC,208,736,737
AR,0.6208058595657349,B-ORG,281,1027,1029
##SE,0.496547669172287,I-LOC,282,1029,1031
##NL,0.6850264072418213,I-ORG,283,1031,1033
##A,0.44553670287132263,I-ORG,284,1033,1034
PA,0.492147833108902,I-ORG,285,1035,1037
##IN,0.6326284408569336,I-ORG,288,1039,1041
Agreement,0.7708224654197693,I-MISC,351,1262,1271
