word,score,entity,index,start,end
##ES,0.5237635374069214,I-ORG,40,112,114
##S,0.7512251734733582,I-ORG,41,114,115
LLC,0.4032133221626282,B-ORG,43,116,119
Management,0.9224019050598145,B-ORG,52,151,161
Jose,0.9046885967254639,B-ORG,56,168,172
Luis,0.9547795057296753,I-ORG,57,173,177
Sal,0.864905834197998,I-PER,58,178,181
##cid,0.7720885872840881,I-ORG,59,181,184
##o,0.6827941536903381,I-ORG,60,184,185
Management,0.6637660264968872,B-ORG,85,286,296
California,0.9994222521781921,B-LOC,114,365,375
Superior,0.9950175285339355,B-ORG,139,471,479
Court,0.9737884998321533,I-ORG,140,480,485
of,0.9249406456947327,I-ORG,141,486,488
Kern,0.5364789366722107,I-ORG,142,489,493
County,0.9870749711990356,I-ORG,143,494,500
Property,0.5294286012649536,B-ORG,239,902,910
Management,0.7650167942047119,B-ORG,261,1022,1032
Management,0.9470602869987488,B-ORG,304,1232,1242
Property,0.5372830629348755,B-ORG,324,1301,1309
