word,score,entity,index,start,end
DE,0.46097177267074585,I-ORG,72,175,177
Sri,0.9822759032249451,B-PER,95,212,215
Cho,0.9434348344802856,B-PER,96,216,219
##th,0.35084599256515503,I-PER,97,219,221
##mal,0.7319953441619873,I-PER,98,221,224
Josh,0.9929495453834534,I-PER,99,225,229
Hindu,0.7852697968482971,B-MISC,102,232,237
Josh,0.9782644510269165,B-LOC,118,282,286
##i,0.5016052722930908,I-LOC,119,286,287
Ku,0.9754512310028076,I-LOC,120,288,290
A,0.8369566202163696,B-LOC,125,303,304
##kas,0.9047781825065613,I-LOC,126,304,307
##hwa,0.8895217776298523,I-LOC,127,307,310
##ni,0.5290544629096985,I-LOC,128,310,312
Se,0.34071531891822815,B-LOC,132,323,325
Si,0.988527774810791,B-LOC,136,336,338
##li,0.7531100511550903,I-LOC,137,338,340
##gu,0.8085201382637024,I-LOC,138,340,342
##ri,0.8814527988433838,B-LOC,139,342,344
West,0.9994405508041382,B-LOC,141,346,350
Bengal,0.9987016916275024,I-LOC,142,351,357
Limited,0.576619029045105,I-ORG,230,644,651
Company,0.6563457250595093,I-ORG,231,652,659
Indian,0.978772759437561,B-MISC,235,683,689
Companies,0.9262024164199829,I-MISC,236,690,699
Act,0.9917901754379272,I-MISC,237,700,703
Ash,0.9892669916152954,B-LOC,254,780,783
##iana,0.7193087339401245,I-LOC,255,783,787
Exhibition,0.9827379584312439,B-LOC,258,796,806
Road,0.9515422582626343,I-LOC,259,807,811
Pat,0.9400889873504639,I-LOC,260,812,815
##na,0.8971141576766968,I-LOC,261,815,817
Bihar,0.9982702136039734,B-LOC,265,822,827
Y,0.5128896236419678,B-ORG,337,1125,1126
##OD,0.5122033953666687,I-ORG,339,1128,1130
Ph,0.9737323522567749,B-PER,348,1156,1158
Sun,0.8670579195022583,I-PER,351,1164,1167
##war,0.36948859691619873,I-LOC,352,1167,1170
Hindu,0.9258672595024109,B-MISC,354,1172,1177
Tu,0.6666929125785828,B-LOC,368,1248,1250
##ri,0.6127084493637085,I-LOC,369,1250,1252
##bari,0.9222341775894165,I-LOC,370,1252,1256
Jungle,0.9666715860366821,B-LOC,372,1258,1264
##e,0.9589099884033203,I-LOC,373,1264,1265
Mo,0.9484965205192566,I-LOC,374,1266,1268
##hal,0.9268854260444641,I-LOC,375,1268,1271
Sal,0.9301097393035889,B-LOC,381,1278,1281
##uga,0.7952143549919128,I-LOC,382,1281,1284
West,0.9410839080810547,B-LOC,405,1345,1349
Bengal,0.8210529685020447,I-LOC,406,1350,1356
Se,0.3809206485748291,B-LOC,466,1566,1568
B,0.40998703241348267,B-LOC,485,1611,1612
Si,0.4614926278591156,B-LOC,500,1642,1644
