word,score,entity,index,start,end
Bangalore,0.9986690282821655,B-LOC,19,65,74
Para,0.9982748627662659,B-PER,42,139,143
##su,0.8182854056358337,B-PER,43,143,145
Ram,0.9578537344932556,I-PER,44,146,149
Mi,0.9694182276725769,I-PER,45,150,152
K,0.698823869228363,B-ORG,57,170,171
##A,0.5180282592773438,B-LOC,58,171,172
##TH,0.6343727111816406,I-ORG,60,174,176
##U,0.86380934715271,I-ORG,61,176,177
##B,0.9446802735328674,I-ORG,62,177,178
##HA,0.7777393460273743,I-ORG,63,178,180
K,0.8430518507957458,B-ORG,65,182,183
P,0.9890671968460083,I-ORG,67,184,185
##H,0.9407094120979309,I-ORG,68,185,186
B,0.8984527587890625,I-ORG,70,187,188
P,0.9995360374450684,B-PER,121,305,306
Gang,0.9990102052688599,I-PER,123,307,311
##ad,0.975375235080719,I-PER,124,311,313
M,0.9929802417755127,B-ORG,129,331,332
G,0.9974411725997925,I-ORG,131,333,334
.,0.956678569316864,I-ORG,132,334,335
H,0.9983968138694763,I-ORG,133,335,336
Corporation,0.9971019625663757,I-ORG,134,337,348
Gold,0.9940846562385559,I-ORG,135,350,354
Hill,0.9921911358833313,I-ORG,136,355,359
Unit,0.9740874767303467,I-ORG,137,360,364
Hu,0.8973543047904968,B-LOC,140,370,372
##b,0.5529224872589111,I-LOC,141,372,373
##li,0.9789755344390869,B-LOC,142,373,375
Road,0.76459139585495,I-LOC,143,376,380
Bo,0.9466452598571777,I-LOC,144,382,384
##mma,0.7884799838066101,I-LOC,145,384,387
##na,0.5027430653572083,I-ORG,146,387,389
##band,0.9360164403915405,I-LOC,147,389,393
##i,0.5107149481773376,I-LOC,148,393,394
K,0.4893806278705597,B-ORG,229,721,722
##A,0.3923374116420746,B-LOC,230,722,723
##TH,0.556300699710846,I-ORG,232,725,727
##U,0.7735055088996887,I-ORG,233,727,728
##B,0.8642707467079163,I-ORG,234,728,729
K,0.8728516101837158,B-ORG,237,733,734
P,0.9814532399177551,I-ORG,239,735,736
H,0.9695349335670471,I-ORG,241,737,738
B,0.8902992606163025,I-ORG,243,739,740
English,0.9975141286849976,B-MISC,373,1245,1252
