entity,start_char,end_char,label
the 27th day January 2010,72,97,DATE
about 51 years,140,154,DATE
BTM 1st Stage,186,199,ORG
Thavarekere,201,212,GPE
Hereinafter,239,250,PERSON
one,289,292,CARDINAL
SHRI,304,308,ORG
4,389,390,CARDINAL
109,410,413,CARDINAL
INDIA,448,453,GPE
Hereinafter,490,501,PERSON
monthly,872,879,DATE
11 month,1078,1086,DATE
one month,1101,1110,DATE
11 month,1165,1173,DATE
5 %,1292,1295,PERCENT
11 month,1304,1312,DATE
three months,1804,1816,DATE
5th,2162,2165,ORDINAL
English,2175,2182,LANGUAGE
1 month,2233,2240,DATE
No.9 18th Main,3542,3556,FAC
5th Cross,3558,3567,FAC
BTM 1st Stage,3569,3582,FAC
Thavaerekere,3584,3596,GPE
Bangalore- 560029,3603,3620,FAC
one,3638,3641,CARDINAL
one,3656,3659,CARDINAL
'the day, month and year first',3805,3834,DATE
Bangalore,3846,3855,GPE
1,3870,3871,CARDINAL
