entity,start_char,end_char,label
the 15th day of February 2012,148,177,DATE
15.02.2012,179,189,CARDINAL
M.SANTOSH,212,221,PERSON
31 years,252,260,DATE
Flat	FI,292,299,ORG
'No:3,V.O.C.',314,325,WORK_OF_ART
Near SAN Academy School,332,355,ORG
Padmavathy Nagar,356,372,GPE
Velachery,373,382,GPE
Chennai-600042.,383,398,GPE
ONE,559,562,CARDINAL
Jeyanth B,579,588,PERSON
30 years,615,623,DATE
Cognizant Technology Solutions,657,687,ORG
Chennai.,689,697,GPE
No 5/856,729,737,FAC
Lakeview 3rd Street,739,758,FAC
Iyyappa Nagar,760,773,GPE
Madipakkam Chennai - 91,775,798,FAC
LANDLORD,1000,1008,ORG
First Floor,1048,1059,ORG
2,1087,1088,CARDINAL
Bed Room,1089,1097,ORG
NO.3,1175,1179,GPE
V.O.C.,1181,1187,GPE
PADMAVATHI NAGAR,1195,1211,GPE
VELACHERY,1219,1228,GPE
CHENNAI,1230,1237,GPE
042,1244,1247,CARDINAL
TENANT,1334,1340,ORG
LANDLORD,1356,1364,ORG
LANDLORD,1406,1414,ORG
Lease,1583,1588,FAC
11 (Eleven) months,1608,1626,DATE
11th day of March 2012 to 10th day of February 2013,1642,1693,DATE
TENANT,1718,1724,ORG
Thirty Thousand,1754,1769,CARDINAL
LANDLORD,1855,1863,ORG
LANDLORD,1904,1912,ORG
TENANT,2050,2056,ORG
TENANT,2337,2343,ORG
LANDLORD,2408,2416,ORG
the SECURITY DEPOSIT,2421,2441,ORG
TENANT,2485,2491,ORG
LANDLORD,2559,2567,ORG
TENANT,2588,2594,ORG
Nine Thousand,2641,2654,MONEY
5th day,2695,2702,DATE
English,2721,2728,LANGUAGE
3,2783,2784,CARDINAL
Energy,2817,2823,ORG
TENANT,2835,2841,ORG
TNEB,3005,3009,ORG
the Rental period,3017,3034,EVENT
TENANT,3057,3063,ORG
the Security Deposit,3108,3128,ORG
TENANT,3134,3140,ORG
TENANT,3270,3276,ORG
monthly,3292,3299,DATE
Rental Lease,3406,3418,ORG
TENANT,3420,3426,ORG
the Rules and Regulations of the Association,3443,3487,LAW
TENANT,3526,3532,ORG
Rental Lease,3706,3718,LAW
TENANT,3753,3759,ORG
TENANT,3926,3932,ORG
LANDLORD,4038,4046,ORG
Woodwork,4114,4122,FAC
Granite,4167,4174,LOC
LANDLORD,4356,4364,ORG
TENANT,4440,4446,ORG
the Rental Lease,4615,4631,FAC
TENANT,4747,4753,ORG
1,4774,4775,CARDINAL
1,4783,4784,CARDINAL
2,4785,4786,CARDINAL
1,4797,4798,CARDINAL
2,4802,4803,CARDINAL
the Ground Floor,4837,4853,FAC
TENANT,4867,4873,ORG
Said Noise,5025,5035,PERSON
TENANT,5118,5124,ORG
TENANT,5317,5323,ORG
TENANT,5420,5426,ORG
LANDLORD,5443,5451,PERSON
11,5620,5622,CARDINAL
TENANT,5655,5661,ORG
every 11 (Eleven) months,5716,5740,DATE
10%,5756,5759,PERCENT
the Rental Lease,5813,5829,LAW
Rental Lease,5879,5891,ORG
11 (Eleven) months,6020,6038,DATE
2 month,6079,6086,DATE
LANDLORD,6101,6109,ORG
TENANT,6154,6160,ORG
2 months,6268,6276,DATE
LANDLORD,6393,6401,ORG
30 day,6453,6459,DATE
TENANT,6518,6524,ORG
TENANT,6771,6777,ORG
TENANT,6847,6853,ORG
TENANT,6958,6964,ORG
this day,7049,7057,DATE
Plotno:2A,7077,7086,GPE
'PranavBhoorni,5thstreet',7087,7110,GPE
ShankaraPuram,7111,7124,GPE
Sithalapakka,7125,7137,GPE
Chennai-600126,7140,7154,GPE
LEASE,7208,7213,ORG
month and year first,7259,7279,DATE
Santosh,7356,7363,PERSON
Jeyanth,7380,7387,PERSON
TENANT,7389,7395,PERSON
