entity,start_char,end_char,label
March 22nd day 2013,47,66,DATE
TWO THOUSAND Thirteen,68,89,WORK_OF_ART
Chennai,94,101,GPE
Mr.Kamal,113,121,PERSON
about 32 years,128,142,DATE
Appar Sundar,151,163,PERSON
Pursawalkam,176,187,GPE
Kosapt Chennai-12,189,206,GPE
Appar,487,492,PERSON
about 62 years,499,513,DATE
Pursawalkam,526,537,GPE
Chennai,541,548,GPE
600,551,554,CARDINAL
012,555,558,CARDINAL
22.03.,612,618,CARDINAL
13,618,620,CARDINAL
Arun Kumar S/O,632,646,PERSON
Mr.Veda Chalam,650,664,GPE
Old No.97,979,988,FAC
Kanda Swamy Koil,990,1006,FAC
Kosapet,1015,1022,GPE
Pursawalkam Chennai 600012,1024,1050,FAC
LESSEE,1127,1133,ORG
LESSOR,1153,1159,ORG
SCHEULE,1174,1181,ORG
Monthly,1200,1207,DATE
12 months,1261,1270,DATE
LESSOR,1329,1335,ORG
LESSEE,1403,1409,ORG
monthly,1415,1422,DATE
Lease,1521,1526,ORG
a period of 12 months,1550,1571,DATE
23.03.,1589,1595,CARDINAL
13,1595,1597,CARDINAL
23.03.14,1623,1631,CARDINAL
12 months,1652,1661,DATE
LESSEE,1745,1751,ORG
the English Calendar Month,1779,1805,EVENT
LESSEE,1812,1818,ORG
Monthly,1841,1848,DATE
5th day of the every succeeding month,1878,1915,DATE
Rupees Twelve Thousand,2037,2059,WORK_OF_ART
100000,2084,2090,MONEY
one,2117,2120,CARDINAL
LESSEE,2166,2172,ORG
LESSOR,2242,2248,ORG
Refer Point 16,2309,2323,LAW
monthly,2353,2360,DATE
LESSEE,2371,2377,ORG
1000,2412,2416,MONEY
Mr.Kamal,2445,2453,ORG
Electricity Consumption,2456,2479,ORG
Rs.500,2520,2526,MONEY
Building,2813,2821,ORG
LESSOR,2833,2839,ORG
LESSOR,2985,2991,ORG
LESSEE,3124,3130,ORG
LESSEE,3257,3263,ORG
third,3416,3421,ORDINAL
LESSEE,3434,3440,ORG
LESSEE,3501,3507,ORG
monthly,3525,3532,DATE
two consecutive months,3569,3591,DATE
LESSEE,3634,3640,ORG
Lease,3789,3794,LAW
LESSEE,3956,3962,ORG
LESSEE,4210,4216,ORG
LESSEE,4317,4323,ORG
monthly,4342,4349,DATE
General Maintenance,4350,4369,ORG
Rs.1500,4379,4386,MONEY
The Flat Owner Mr.Kamal,4406,4429,ORG
LESSEE,4435,4441,ORG
Building,4675,4683,ORG
LESSOR,4690,4696,ORG
Levies,4721,4727,ORG
Municipal Corporation,4735,4756,ORG
LESSEE,4904,4910,ORG
LESSOR,5026,5032,ORG
LESSEE,5040,5046,ORG
Lease,5065,5070,LAW
2,5106,5107,CARDINAL
Two,5109,5112,CARDINAL
LESSEE,5145,5151,ORG
monthly,5244,5251,DATE
the period of two months,5297,5321,DATE
LESSOR,5360,5366,ORG
LESSOR,5457,5463,ORG
LESSEE,5535,5541,ORG
LESSOR,5629,5635,ORG
LESSEE,5708,5714,LAW
the Expiry of the Lease Period,5802,5832,EVENT
12 months,5836,5845,DATE
this Lease Agreement,5847,5867,LAW
5%,5890,5892,PERCENT
a further period of 12 / 24 months,5970,6004,DATE
NO 97,6099,6104,FAC
Kanda Swamy Koil Street,6105,6128,FAC
Kosapet,6130,6137,GPE
Chennai-600012,6139,6153,GPE
LESSEE,6253,6259,ORG
the day,6319,6326,DATE
month and year first,6329,6349,DATE
1,6421,6422,CARDINAL
Exhaust Fan,6568,6579,PERSON
