entity,start_char,end_char,label
LEASE/RENTAL AGREEMENT,118,140,LAW
the City of Olongapo City,165,190,GPE
Philippines,192,203,GPE
'this 19th day of July, 2011',204,231,DATE
Filipino,295,303,LANGUAGE
50-20th,350,357,DATE
East Bajac- Bajac- Olongapo City,370,402,GPE
JASMIN B. BAKER,452,467,ORG
EDWARD RAY BAKER,472,488,PERSON
JR.,490,493,GPE
1,566,567,CARDINAL
2,575,576,CARDINAL
7,581,582,CARDINAL
Magdalena Homes,584,599,PERSON
Sto. Tomas,601,611,GPE
Subic,613,618,GPE
Zambales,620,628,GPE
LANDLORD,703,711,ORG
HOUSE,728,733,ORG
Phase 1,789,796,FAC
2,804,805,CARDINAL
7,810,811,CARDINAL
Magdalena Homes,813,828,PERSON
Sto. Tomas,830,840,GPE
Suibc,842,847,GPE
Zambales,849,857,GPE
LANDLORD,873,881,ORG
TENANTS,922,929,ORG
TENANTS,938,945,ORG
LANDLORD,1048,1056,ORG
TENANTS,1073,1080,ORG
TENANTS,1089,1096,ORG
LANDLORD,1446,1454,ORG
THREE,1602,1607,CARDINAL
16 July 2011 to 16 October 2011,1625,1656,DATE
LANDLORD,1868,1876,ORG
later than seven (7) days,1881,1906,DATE
monthly,1990,1997,DATE
'22,000.00',2077,2086,CARDINAL
Philippine Currency,2089,2108,ORG
LANDLORD,2154,2162,ORG
TENANTS,2224,2231,ORG
one,2250,2253,CARDINAL
1,2255,2256,CARDINAL
two,2276,2279,CARDINAL
2) months,2281,2290,DATE
'August 6, 2011',2337,2351,DATE
THREE,2392,2397,CARDINAL
Philippine Currency,2465,2484,ORG
6 August 2011),2580,2594,DATE
two,2609,2612,CARDINAL
2) months,2614,2623,DATE
TENANT,2803,2809,ORG
two,2899,2902,CARDINAL
monthly,2913,2920,DATE
LANDLORD,2997,3005,ORG
TENANT,3217,3223,ORG
21 days,3304,3311,DATE
TENANT,3319,3325,ORG
TENANTS,3491,3498,ORG
TENANTS,3503,3510,ORG
LANDLORD,3552,3560,ORG
monthly,3668,3675,DATE
TENANTS,3716,3723,ORG
16 August 2011,3730,3744,DATE
TWENTY-TWO,3762,3772,PRODUCT
TENANTS,3848,3855,ORG
LANDLORD,3948,3956,ORG
TENANTS,4013,4020,ORG
LANDLORD,4026,4034,ORG
One,4119,4122,CARDINAL
1) month,4124,4132,DATE
LANDLORD,4208,4216,ORG
TENANTS,4234,4241,ORG
TENANTS,4408,4415,ORG
TENANTS,4567,4574,ORG
LANDLORD,4587,4595,ORG
14 days,4939,4946,DATE
TENANTS,5111,5118,ORG
TENANTS,5171,5178,ORG
Annex (A) hereof,5361,5377,LAW
TENANTS,5379,5386,ORG
TENANTS,5636,5643,ORG
TENANTS,5747,5754,ORG
TENANTS,5970,5977,ORG
normal business hours,6562,6583,TIME
at least 24 hours,6622,6639,TIME
TENANTS,6643,6650,ORG
LANDLORD,6788,6796,ORG
7 days,6986,6992,DATE
LANDLORD,7003,7011,ORG
TENANTS,7013,7020,PERSON
those many days,7127,7142,DATE
TENANTS,7148,7155,ORG
24 hours,7323,7331,TIME
LANDLORD,7350,7358,ORG
LANDLORD,7544,7552,ORG
LANDLORD,7638,7646,ORG
TENANTS,7704,7711,ORG
LANDLORD,7799,7807,ORG
LANDLORD,7815,7823,ORG
TENANTS,8015,8022,ORG
TENANTS,8574,8581,ORG
LANDLORD,8649,8657,ORG
TENANTS,8719,8726,ORG
TENANTS,8793,8800,ORG
any reasonable hour,8826,8845,TIME
LANDLORD,9232,9240,ORG
TENANTS,9508,9515,ORG
Twenty Five (25) %,9690,9708,PERCENT
TENANTS,9738,9745,ORG
TENANTS,9835,9842,LAW
this House (Fully Furnished) Lease/Rental Agreement,9894,9945,LAW
TENANTS,10252,10259,ORG
TENANTS,10276,10283,ORG
TENANTS,10356,10363,ORG
Agreement,10465,10474,LAW
TENANTS,10532,10539,PERSON
TENANTS,10558,10565,ORG
LEASE/RENTAL AGREEMENT,10681,10703,LAW
19 July 2011,10858,10870,DATE
Olongapo City,10874,10887,GPE
Philippines,10889,10900,GPE
EDWARD RAY BAKER,10935,10951,PERSON
JR,10953,10955,GPE
TENANT,10958,10964,PERSON
Republic of the Philippines,11011,11038,GPE
Olongapo City,11041,11054,GPE
EDWARD RAY BAKER,11184,11200,PERSON
four,11405,11409,CARDINAL
4,11411,11412,CARDINAL
first,11659,11664,ORDINAL
2011,11740,11744,DATE
