entity,start_char,end_char,label
Lesconcierges Help Desk,3,26,WORK_OF_ART
Rs.20,255,260,CARDINAL
50,264,266,CARDINAL
100,270,273,CARDINAL
200,277,280,CARDINAL
EIGHT,374,379,CARDINAL
6,468,469,CARDINAL
2nd CROSS,523,532,GPE
VINAYAKA,533,541,GPE
'CHINNAPANNAHALLI,MARATHAHALLI',550,579,GPE
BANGALORE,580,589,GPE
7,599,600,CARDINAL
1st FLOOR,649,658,GPE
2nd CROSS,674,683,GPE
VINAYAKA LAYOUT,684,699,GPE
CHINNAPANNAHLLI.MARATHAHALLI,700,728,GPE
BANGALORE-560037,729,745,GPE
1st,836,839,ORDINAL
'17,6th',849,855,ORDINAL
2nd,861,864,ORDINAL
'VINAYAKA,LAYOUT',872,887,GPE
CHINNAPANNAHLLI.MARATHAHALLI,888,916,GPE
BANGALORE-560037,917,933,GPE
Fittings and Fixtures,946,967,ORG
2,976,977,CARDINAL
Geyser,1032,1038,PERSON
200,1109,1112,CARDINAL
250,1145,1148,CARDINAL
300,1183,1186,CARDINAL
2working days,1224,1237,DATE
20.000/- then 20 rupees,1340,1363,MONEY
'20,000 to below 50.000',1404,1426,MONEY
50/- rupees,1432,1443,MONEY
50.000,1481,1487,CARDINAL
100,1492,1495,CARDINAL
