entity,start_char,end_char,label
10th- mav 2009,73,87,DATE
Anwar,120,125,PERSON
BTM 2nd Stage,153,166,ORG
E.W.S. Bangalore-560076,168,191,ORG
Hereinafter,194,205,PERSON
one,230,233,CARDINAL
Mohammed Ishaq,245,259,PERSON
Mohammed Moosa,265,279,PERSON
415,282,285,CARDINAL
29th,299,303,ORDINAL
8th,310,313,ORDINAL
Lessor,489,495,PERSON
Lessee,500,506,ORG
Lessor,627,633,PERSON
Lessor,725,731,PERSON
monthly,803,810,DATE
4000/-(rupees,819,832,MONEY
Four thousand,833,846,CARDINAL
Lessee,869,875,ORG
Lessor,944,950,PRODUCT
1 l(Eleven) Months,999,1017,DATE
the date of 10/05/2009,1023,1045,DATE
Lessor,1094,1100,PRODUCT
Lessee,1105,1111,ORG
10%,1153,1156,PERCENT
every 11 months,1160,1175,DATE
Lessee,1216,1222,ORG
Forty Thousands,1259,1274,CARDINAL
Lessor,1299,1305,PERSON
Lessee,1416,1422,ORG
Lessor,1430,1436,ORG
Lessee,1529,1535,ORG
Lessor,1631,1637,PERSON
Lessee,1649,1655,ORG
three months,1709,1721,DATE
Lessor,1726,1732,ORG
Lessee,1799,1805,ORG
Lessor,1831,1837,PERSON
Lessee,2029,2035,ORG
15th,2116,2120,ORDINAL
English,2130,2137,LANGUAGE
3 months,2228,2236,DATE
Lessee,2269,2275,ORG
Lessee,2391,2397,ORG
Lessee,2432,2438,ORG
all reasonable hours,2583,2603,TIME
Lessor,2641,2647,PERSON
all reasonable hours,2762,2782,TIME
Lessee,3013,3019,ORG
Lessor,3070,3076,ORG
Lessor,3168,3174,FAC
3200,3235,3239,CARDINAL
Ground Floor,3349,3361,FAC
BTM 2nd Stage,3406,3419,FAC
E.W.S,3420,3425,GPE
One,3460,3463,CARDINAL
RCC,3506,3509,ORG
1,3530,3531,CARDINAL
Lessor,3584,3590,PERSON
Lessee,3595,3601,PERSON
'the day,month and year first',3644,3672,DATE
Bangalore,3684,3693,GPE
1,3710,3711,CARDINAL
