entity,start_char,end_char,label
06th day of March 2013,129,151,DATE
Hyderabad,155,164,GPE
C.BHAGYAMMA,186,197,PERSON
about 52 years,226,240,DATE
H.N04-8-38,261,271,DATE
Manjeera Nagar,273,287,GPE
Sangareddy Mandal,289,306,GPE
Medak District,308,322,GPE
AP,324,326,ORG
JP INTERIO,501,511,PERSON
M/S.SRI,513,520,GPE
JAYAM HOUSING & CONSTRUCTIONS & M/S.SRI,521,560,ORG
Managing Director & Managing,619,647,ORG
B.JAYA PRAKASH,656,670,PERSON
about 33 years,700,714,DATE
Ramachandrapuram,745,761,GPE
Medak District,763,777,GPE
AP,779,781,ORG
second,978,984,ORDINAL
JP INTERIO,1087,1097,PERSON
SRI JAYAM HOUSING & CONSTRUCTIONS,1107,1140,ORG
M/S.SRI JAYAM HOUSING & CONSTRUCTIONS,1142,1179,ORG
204,1226,1229,CARDINAL
2nd Floor,1231,1240,FAC
BR,1242,1244,ORG
Chandanagar,1283,1294,GPE
Hydearabad,1296,1306,GPE
Ranga Reddy District,1316,1336,GPE
Andhra Pradesh,1338,1352,GPE
first,1367,1372,ORDINAL
the Flat No.204,1383,1398,FAC
BR,1412,1414,ORG
Sharada Hema Durga Galaxy,1417,1442,PERSON
Situated Chandanagar,1444,1464,FAC
Hydearabad,1466,1476,GPE
050,1481,1484,CARDINAL
Ranga Reddy District,1486,1506,GPE
Andhra Pradesh,1508,1522,GPE
'Flat NO.204, llnd Floor',1565,1588,ORG
BR Sharada Hema durga Galaxy,1590,1618,ORG
Chandanagar,1632,1643,GPE
Hyderabad,1645,1654,GPE
Ranga Reddy District,1664,1684,GPE
Andhra Pradesh,1686,1700,GPE
second,1709,1715,ORDINAL
11 months,1902,1911,DATE
from 06th day of April 2013,1923,1950,DATE
'13,000',2128,2134,CARDINAL
the 10th day of same month,2198,2224,DATE
first,2545,2550,ORDINAL
second,2611,2617,ORDINAL
ONE month,2676,2685,DATE
Flat,2821,2825,ORG
TENANT,3463,3469,PERSON
