entity,start_char,end_char,label
INDIA,0,5,GPE
Government of Karnataka,20,43,ORG
10:50 AM,88,96,TIME
NONACC,98,104,ORG
BK,106,108,ORG
12,207,209,CARDINAL
200,321,324,CARDINAL
Two Hundred,327,338,CARDINAL
Two thousand fourteen April twenty first (21/04/14),436,487,DATE
Between S T Nagaveni,489,509,ORG
Vanasuma,546,554,GPE
Tumkur District SS puram,562,586,ORG
8th Cross,589,598,FAC
Madhu H N,616,625,PERSON
8th,638,641,ORDINAL
7th,648,651,ORDINAL
Sspuram Tumkur,657,671,LOC
TENANT,787,793,ORG
this day,803,811,DATE
'Rs. 50,000 (Rupees',821,839,MONEY
fifty thousand,840,854,CARDINAL
Tenant,965,971,ORG
monthly,984,991,DATE
'5,000/-(Rupees',1003,1017,MONEY
5th,1054,1057,ORDINAL
English,1067,1074,LANGUAGE
05 months,1203,1212,DATE
TENANT,1532,1538,ORG
TENANT,1630,1636,ORG
10,1726,1728,CARDINAL
TENANT,1734,1740,ORG
5%,1788,1790,PERCENT
monthly,1794,1801,DATE
every year,1812,1822,DATE
over 12 months,1947,1961,DATE
Tumkur Taluk,2003,2015,FAC
Gukur Hobli,2017,2028,FAC
Naruganahalli,2030,2043,GPE
Honnenhalli Village Survey Number 10/03,2050,2089,FAC
10/04,2094,2099,CARDINAL
1.13 Acers,2108,2118,QUANTITY
East,2185,2189,LOC
North Hanumantha,2221,2237,LOC
Chinnama Land,2262,2275,GPE
TENANT,2302,2308,PERSON
