entity,start_char,end_char,label
Bangalore,80,89,GPE
this fifth day of December 2008,90,121,DATE
MR.K.Kuttan S,130,143,WORK_OF_ART
Kelu Aehari,146,157,PERSON
S.M. Road 1st main,212,230,FAC
T.Dasarahalli,232,245,GPE
Bangalore-57,247,259,FAC
Narayana Namboodri,420,438,PERSON
Laxmi Leela,440,451,PERSON
3rd,466,469,ORDINAL
Ayyappa Nagar,476,489,FAC
Ayyappa Temple,497,511,FAC
Jalahalli West,513,527,GPE
Bangalore - 15,529,543,FAC
No. 8/20,754,762,FAC
S.M. Road,763,772,FAC
'Jalahalli West, Bangalore - 15',774,804,FAC
500 sft,840,847,QUANTITY
Ilnd,856,860,LOC
A.C,872,875,FAC
'Rs.4,000.00 (Rupees Four Thousand',1234,1267,MONEY
eleven months,1369,1382,DATE
every eleventh month,1501,1521,DATE
before 10th of each month,1570,1595,DATE
'Rs.35,000/- (Rupees',1619,1638,MONEY
thirty five thousand,1639,1659,CARDINAL
three month,2072,2083,DATE
one week,2201,2209,DATE
third,2627,2632,ORDINAL
SIIIDIII,2953,2961,PERSON
1,2988,2989,CARDINAL
