entity,start_char,end_char,label
Bangalore,102,111,GPE
'this 5th day of April, 2012',116,143,DATE
PADMAVATI,158,167,GPE
'154/2,1st',169,178,QUANTITY
9th Cross,186,195,FAC
Byrasandra Main Road,197,217,FAC
G M Palya,218,227,FAC
Bangalore,229,238,GPE
075,245,248,CARDINAL
one,284,287,CARDINAL
SANGHAMITRA PARIDA,299,317,PERSON
Sasken Communication,331,351,ORG
Technologies Ltd,351,367,ORG
139/25,369,375,DATE
Ring Road,377,386,FAC
Domlur Bangalore 560,388,408,FAC
071,409,412,CARDINAL
Tenant,478,484,ORG
154,529,532,CARDINAL
2,533,534,CARDINAL
9th Cross,550,559,FAC
Byrasandra Main Road,561,581,FAC
G M Palya,583,592,FAC
Bangalore,594,603,GPE
075,610,613,CARDINAL
Tenant,751,757,ORG
monthly,770,777,DATE
Rs.8000,786,793,MONEY
5th of every month,807,825,DATE
10%,920,923,PERCENT
11 months,930,939,DATE
Tenant,945,951,ORG
60000,998,1003,MONEY
Tenant,1008,1014,ORG
Rs. 60000,1168,1177,LAW
Tenant,1237,1243,ORG
Tenancy,1266,1273,ORG
Tenancy,1339,1346,ORG
the period of (11) Months,1369,1394,DATE
the 5th April of 2012,1400,1421,DATE
the English Calendar month,1446,1472,DATE
a consecutive period of two months,1582,1616,DATE
Tenant,1704,1710,ORG
Tenant,1875,1881,ORG
Tenant,2149,2155,ORG
one-month,2447,2456,DATE
one month,2545,2554,DATE
1,2852,2853,CARDINAL
5,2864,2865,CARDINAL
154,2929,2932,CARDINAL
2,2933,2934,CARDINAL
9th Cross,2950,2959,FAC
Byrasandra Main Road,2961,2981,FAC
G M Palya,2983,2992,FAC
Bangalore,2994,3003,GPE
075,3010,3013,CARDINAL
1,3030,3031,CARDINAL
1,3038,3039,CARDINAL
2,3049,3050,CARDINAL
1,3062,3063,CARDINAL
the day and year first,3165,3187,DATE
1,3217,3218,CARDINAL
TENANT,3227,3233,PERSON
