entity,start_char,end_char,label
Tenancy,36,43,ORG
Chennai,68,75,GPE
1st day of September 2011 (1-3-2011,79,114,DATE
Rao,158,161,PERSON
about 54 years,167,181,DATE
No: 20/3,194,202,DATE
Venkateswara nagar,204,222,FAC
IstMain road,224,236,FAC
Velachery,238,247,GPE
Chennai - 42,249,261,GPE
Tamil Nadu,263,273,GPE
Hereinafter,275,286,PERSON
Ramasamy,334,342,PERSON
28 years New No:88(,348,367,DATE
Madha kovil street,379,397,FAC
'Ganesapuram, Namakkal- 637001',399,428,FAC
Hereinafter,430,441,PERSON
Tenant,480,486,ORG
No 20/3,553,560,FAC
Venkateswara nagar,562,580,FAC
1st Main road,582,595,FAC
Velachery,597,606,GPE
Chennai - 42,608,620,GPE
Tamil Nadu,622,632,GPE
Tenant,770,776,ORG
Seven thousand and two hundred,815,845,CARDINAL
5 th day of every month,865,888,DATE
Tenant,895,901,ORG
Owner Rs.40,921,932,PRODUCT
Tenant,1082,1088,ORG
a period of eleven months,1159,1184,DATE
the month,1215,1224,DATE
English,1246,1253,LANGUAGE
Owner,1275,1280,ORG
Tenant,1334,1340,ORG
a consecutive period of two or more months,1377,1419,DATE
Tenant,1472,1478,ORG
Tenant,1767,1773,ORG
Tenant,1874,1880,ORG
Tenant,1926,1932,ORG
Tenant,2064,2070,ORG
Tenant,2077,2083,ORG
4,2117,2118,CARDINAL
Four,2125,2129,CARDINAL
one month,2174,2183,DATE
2,2389,2390,CARDINAL
2,2398,2399,CARDINAL
the day,2491,2498,DATE
the month & the year first,2500,2526,DATE
1,2555,2556,CARDINAL
