entity,start_char,end_char,label
20 April 2011,138,151,DATE
Asha Ramesh,165,176,PERSON
K.N. Residing,188,201,PERSON
1st Floor,205,214,FAC
82A,216,219,CARDINAL
Vysya Bank Colony,221,238,FAC
ShantiniketanLayout,240,259,GPE
Arakere Post,261,273,GPE
Bannerghatta Road,275,292,FAC
Bangalore-560076,294,310,GPE
Mrs.Sadasivuni Deepti,433,454,PERSON
Kiran,471,476,GPE
53-38-20,484,492,DATE
KRM,494,497,GPE
Maddilapalem,506,518,GPE
Vishakapatnam,520,533,GPE
LESSOR,744,750,ORG
LESSEE,773,779,ORG
2nd,809,812,ORDINAL
monthly,888,895,DATE
LESSEE,952,958,ORG
monthly,973,980,DATE
5th,999,1002,ORDINAL
English,1012,1019,LANGUAGE
LESSEE,1040,1046,ORG
'55,000',1090,1096,MONEY
Fifty five thousand,1103,1122,CARDINAL
LESSOR,1178,1184,ORG
LESSOR,1220,1226,ORG
LESSEES,1258,1265,ORG
a period of 11 (months,1363,1385,DATE
Tenancy,1404,1411,ORG
LESSEE,1418,1424,ORG
monthly,1439,1446,DATE
LESSEE,1528,1534,ORG
half,1545,1549,CARDINAL
monthly,1603,1610,DATE
LESSOR,1625,1631,ORG
100/month,1699,1708,DATE
LESSEE,1721,1727,ORG
LESSOR,1874,1880,ORG
'2{Two} months''',1983,1997,DATE
this Rental Agreement,2055,2076,LAW
LESSEES,2151,2158,ORG
10%,2182,2185,PERCENT
12 months,2221,2230,DATE
LESSEE,2274,2280,ORG
LESSOR,2471,2477,ORG
LESSEE,2528,2534,ORG
consecutive period of 2 months,2571,2601,DATE
LESSEE,2687,2693,ORG
LESSEE&,2925,2932,ORG
2nd,3018,3021,ORDINAL
Site # 82A,3031,3041,FAC
Vysya Bank Colony,3043,3060,FAC
ShantiniketanLyt,3062,3078,GPE
Arakere Post,3080,3092,FAC
Bannerghatta Road,3094,3111,FAC
Bangalore 560,3113,3126,FAC
0076,3127,3131,CARDINAL
one,3148,3151,CARDINAL
one,3158,3161,CARDINAL
one,3171,3174,CARDINAL
Bath Room,3196,3205,ORG
Geezer,3220,3226,PRODUCT
one,3228,3231,CARDINAL
two,3232,3235,CARDINAL
Overheadtanks,3273,3286,FAC
Sumps,3288,3293,FAC
3,3310,3311,CARDINAL
Granite Floors & Slabs,3383,3405,FAC
ASHARAMESH,3438,3448,PERSON
