entity,start_char,end_char,label
This Rental Agreement,18,39,LAW
23 rd day,64,73,DATE
May Two Thousand Eleven,77,100,DATE
23- 05-2011,102,113,DATE
M.V. Srinivas,116,129,PERSON
M.V. Madhumathi,132,147,PERSON
54 years & 42 Years,153,172,DATE
No.40,187,192,ORG
7th Cross,194,203,FAC
Shivanandanagar,206,221,GPE
Moodalapalya,223,235,GPE
Bangalore,237,246,GPE
560072,249,255,CARDINAL
first,306,311,ORDINAL
first,327,332,ORDINAL
Late M.V. Venkataramaiah,367,391,DATE
about 32 years,397,411,DATE
No.40,425,430,ORG
7th Cross,432,441,FAC
Shivanandanagar,444,459,GPE
Moodalapalya,461,473,GPE
Bangalore - 560072,475,493,FAC
second,543,549,ORDINAL
The Word Owner,557,571,ORG
Tenant,576,582,ORG
the First Party,687,702,ORG
Second Party,768,780,ORG
Tenant,1014,1020,ORG
this day,1025,1033,DATE
'50,000',1052,1058,MONEY
Fifty Thousand,1069,1083,CARDINAL
Tenant,1174,1180,ORG
monthly,1197,1204,DATE
Two Hundred,1248,1259,CARDINAL
before 5th of every month,1285,1310,DATE
a period of 2 months,1346,1366,DATE
5 %,1440,1443,PERCENT
Five Percent,1445,1457,PERCENT
every one year,1467,1481,DATE
Tenant,1488,1494,ORG
Tenant,1588,1594,ORG
Tenant,1692,1698,ORG
Three months,1789,1801,DATE
Tenant,1845,1851,ORG
Tenant,1936,1942,ORG
Tenant,2009,2015,ORG
11 (Eleven) Months,2370,2388,DATE
English,2411,2418,LANGUAGE
Portico,2494,2501,ORG
I Floor),2685,2693,FAC
No.40,2702,2707,FAC
7th Cross,2709,2718,FAC
Shivanandanagar,2721,2736,GPE
Moodalapalya,2738,2750,GPE
Bangalore - 560072,2752,2770,FAC
'One Hall, One Bed Room',2785,2807,ORG
one,2811,2814,CARDINAL
Tenant,2859,2865,PERSON
'the day, month and year',2924,2947,DATE
Bangalore,2967,2976,GPE
1,2991,2992,CARDINAL
Madhumathi,3017,3027,GPE
TENANT,3058,3064,PERSON
