entity,start_char,end_char,label
the 1st day of May 2016,26,49,DATE
01.05.2016,51,61,DATE
ANAND RAJ,71,80,PERSON
CJ Scaria,87,96,PERSON
26 years,103,111,DATE
Changankariyil House Karuvanchal PO,125,160,ORG
Alakode,162,169,GPE
Taliparamba,171,182,GPE
Kannur Pincode,184,198,GPE
670571,200,206,CARDINAL
One,254,257,CARDINAL
BEENA PURATHAYIL MADHAVAN,267,292,PERSON
Parapattil Puthra Valsalan,297,323,PERSON
62 years,329,337,DATE
Nandavanam,361,371,GPE
Chcmbumukku,373,384,GPE
Thrikkakara,386,397,GPE
682021,410,416,DATE
BEENA PURATHAYIL MADHAVAN,478,503,PERSON
5,662,663,CARDINAL
Thrikkakara Municipality,744,768,GPE
BEENA PURATHAYIL MADHAVAN,911,936,PERSON
Rs. 11500/-,1034,1045,MONEY
Eleven Thousand Five Hundred,1047,1075,MONEY
5th,1149,1152,ORDINAL
Rs. 35000/-,1271,1282,MONEY
Thirty-Five Thousand,1291,1311,MONEY
11 months,2011,2020,DATE
01-05-2016,2026,2036,DATE
Lessee,2071,2077,GPE
this day,2175,2183,DATE
BEENA PURATHAY1L MADHAVAN,2186,2211,PERSON
Lessee,2334,2340,ORG
Lessee,2366,2372,PERSON
the Flat Owners Association,2417,2444,ORG
one month,2642,2651,DATE
Lesse,3105,3110,PERSON
BEENA PURATHAYIL MADHAVAN LESSOR,3300,3332,PERSON
1,3343,3344,CARDINAL
2,3347,3348,CARDINAL
