entity,start_char,end_char,label
23 rd day of May Two Thousand Eleven,64,100,DATE
54 years,153,161,DATE
No.40,187,192,FAC
first,306,311,ORDINAL
Party,312,317,ORG
first,327,332,ORDINAL
about 32 years,397,411,DATE
No.40,425,430,FAC
second,543,549,ORDINAL
this day,1025,1033,DATE
'Rs. 50,000/-',1048,1060,MONEY
monthly,1197,1204,DATE
'Rs. 4,200/-',1213,1224,MONEY
'Rupees Four Thousand

',1226,1248,MONEY
5th of every month,1292,1310,DATE
5 %,1440,1443,PERCENT
Five Percent,1445,1457,PERCENT
every one year,1467,1481,DATE
Three months,1789,1801,DATE
11 (Eleven) Months,2370,2388,DATE
English,2411,2418,LANGUAGE
calendar month,2419,2433,DATE
Portico,2494,2501,FAC
Moodalapalya,2738,2750,GPE
Bangalore,2752,2761,GPE
560072,2764,2770,CARDINAL
one,2811,2814,CARDINAL
year,2943,2947,DATE
Bangalore,2967,2976,GPE
