entity,start_char,end_char,label
Perjanjian Kontrak Penyewa,18,44,PERSON
NEOH GUATWAH,98,110,PERSON
4,403,404,CARDINAL
1st JANUARY 2014,512,528,DATE
1 Year,584,590,DATE
TWO MONTHS months,641,658,DATE
25 DECEMBER 2013,681,697,DATE
1st JANUARY 2014,731,747,DATE
TWO MONTHS,1022,1032,DATE
'the month of JANUARY

',1089,1111,DATE
2014,1165,1169,DATE
the last month,1213,1227,DATE
every first week,1339,1355,DATE
Indah,1587,1592,GPE
first,2148,2153,ORDINAL
Landlord,2188,2196,ORG
Tenant,2480,2486,ORG
Tenant,4386,4392,PRODUCT
'the first month''s',7957,7974,DATE
the Tenancy Agreement,11402,11423,LAW
NORAID A BINTIMOHD AZHARI,11426,11451,PERSON
820416-01-5972,11460,11474,CARDINAL
