entity,start_char,end_char,label
the March 22nd day 2013,43,66,DATE
TWO THOUSAND Thirteen,68,89,CARDINAL
Chennai,94,101,GPE
Kamal,116,121,PERSON
about 32 years,128,142,DATE
Appar Sundar,151,163,PERSON
Pursawalkam,176,187,GPE
Appar,487,492,PERSON
about 62 years,499,513,DATE
Pursawalkam,526,537,GPE
Chennai,541,548,GPE
22.03.13,612,620,DATE
V.Arun Kumar S,630,644,PERSON
Veda Chalam,653,664,PERSON
Kanda Swamy Koil street,990,1013,LOC
Kosapet,1015,1022,GPE
Monthly,1200,1207,DATE
LESSOR,1329,1335,ORG
LESSEE,1403,1409,ORG
monthly,1415,1422,DATE
12 months,1562,1571,DATE
23.03.13,1589,1597,DATE
the 23.03.14,1619,1631,DATE
12 months,1652,1661,DATE
LESSEE,1745,1751,ORG
the English Calendar Month,1779,1805,EVENT
LESSEE,1812,1818,ORG
5th day of the,1878,1892,DATE
15000.00,2017,2025,MONEY
100000,2084,2090,MONEY
Rupees One lakh,2092,2107,MONEY
LESSEE,2166,2172,ORG
LESSOR,2242,2248,ORG
16,2321,2323,CARDINAL
monthly,2353,2360,DATE
LESSEE,2371,2377,ORG
1000,2412,2416,MONEY
Kamal,2448,2453,PERSON
Rs.500,2520,2526,MONEY
LESSOR,2833,2839,ORG
LESSEE,2936,2942,ORG
LESSOR,2985,2991,ORG
LESSOR,3023,3029,ORG
LESSEE,3049,3055,ORG
LESSEE,3124,3130,ORG
LESSEE,3257,3263,ORG
third,3416,3421,ORDINAL
LESSEE,3434,3440,ORG
LESSEE,3501,3507,ORG
monthly,3525,3532,DATE
two consecutive months,3569,3591,DATE
LESSEE,3634,3640,ORG
LESSEE,3679,3685,ORG
LESSEE,3902,3908,ORG
LESSEE,3956,3962,ORG
LESSEE,4210,4216,ORG
LESSEE,4317,4323,ORG
monthly,4342,4349,DATE
Rs.1500,4379,4386,MONEY
Kamal,4424,4429,PERSON
LESSEE,4435,4441,ORG
Municipal Corporation,4735,4756,ORG
LESSEE,4768,4774,ORG
LESSEE,4904,4910,ORG
LESSOR,5026,5032,ORG
LESSEE,5040,5046,ORG
2 (Two) months,5106,5120,DATE
LESSEE,5145,5151,ORG
monthly,5244,5251,DATE
LESSOR,5360,5366,ORG
LESSOR,5457,5463,ORG
LESSEE,5535,5541,ORG
LESSOR,5629,5635,ORG
LESSEE,5708,5714,ORG
12 months,5836,5845,DATE
this Lease Agreement,5847,5867,LAW
5%,5890,5892,PERCENT
12 / 24 months,5990,6004,DATE
Kosapet,6130,6137,GPE
LESSEE,6253,6259,ORG
year first,6339,6349,DATE
1,6421,6422,CARDINAL
