entity,start_char,end_char,label
the 27th day January 2010,72,97,DATE
SRI.N.VIJAY KUMAR,115,132,PERSON
about 51 years,140,154,DATE
Thavarekere,201,212,GPE
one,289,292,CARDINAL
SHRI.DURGA SHANKAR GUPTA,304,328,PERSON
INDIA,448,453,GPE
Rs 9 500/-,888,898,MONEY
11 month,1078,1086,DATE
one month,1101,1110,DATE
5 %,1292,1295,PERCENT
11 month,1304,1312,DATE
three months,1804,1816,DATE
5th of every English,2162,2182,DATE
1 month,2233,2240,DATE
No.9 18th Main,3542,3556,FAC
BTM 1st Stage,3569,3582,FAC
one,3638,3641,CARDINAL
one,3656,3659,CARDINAL
month,3814,3819,DATE
year,3824,3828,DATE
first,3829,3834,ORDINAL
Bangalore,3846,3855,GPE
