entity,start_char,end_char,label
20 April 2011,138,151,DATE
Asha Ramesh,165,176,PERSON
Vysya Bank Colony,221,238,ORG
ShantiniketanLayout,240,259,GPE
Bannerghatta Road,275,292,FAC
Sadasivuni Deepti,437,454,PERSON
Sadasivuni Kiran,460,476,PERSON
KRM Colony,494,504,ORG
Vishakapatnam,520,533,GPE
LESSEE,773,779,ORG
2nd,809,812,ORDINAL
LESSEE,952,958,ORG
5th of every English,999,1019,DATE
LESSEE,1040,1046,ORG
'Rs. 55,000/-(Rs',1086,1101,MONEY
LESSEES,1258,1265,ORG
11 (months,1375,1385,DATE
LESSEE,1418,1424,ORG
monthly,1439,1446,DATE
LESSEE,1528,1534,ORG
half,1545,1549,CARDINAL
monthly,1603,1610,DATE
LESSOR,1625,1631,ORG
Rs. 100,1695,1702,MONEY
LESSEE,1721,1727,ORG
daily,1798,1803,DATE
LESSOR,1874,1880,ORG
'2{Two} months''',1983,1997,DATE
this Rental Agreement,2055,2076,LAW
LESSEES,2151,2158,ORG
10%,2182,2185,PERCENT
LESSEE,2274,2280,ORG
LESSOR,2297,2303,ORG
LESSOR,2471,2477,ORG
LESSEE,2528,2534,ORG
2 months,2593,2601,DATE
LESSEE,2687,2693,ORG
LESSOR,2815,2821,ORG
LESSEEE,2832,2839,ORG
LESSEE,2925,2931,ORG
LESSOR,2933,2939,ORG
2nd,3018,3021,ORDINAL
Site # 82A,3031,3041,FAC
Vysya Bank Colony,3043,3060,FAC
Arakere Post,3080,3092,FAC
Bannerghatta Road,3094,3111,FAC
Bangalore,3113,3122,GPE
one,3148,3151,CARDINAL
one,3158,3161,CARDINAL
one,3171,3174,CARDINAL
one,3228,3231,CARDINAL
two,3232,3235,CARDINAL
Overheadtanks,3273,3286,FAC
Sumps,3288,3293,GPE
LESSOR	,3423,3430,PERSON
ASHARAMESH	SADASIVUNI,3438,3459,PERSON
SADASHIVUNI KIRAN,3468,3485,PERSON
