entity,start_char,end_char,label
Bangalore,102,111,GPE
'this 5th day of April, 2012',116,143,DATE
PADMAVATI,158,167,PERSON
Byrasandra Main Road,197,217,LOC
Bangalore,229,238,GPE
one,284,287,CARDINAL
SANGHAMITRA PARIDA,299,317,PERSON
Sasken CommunicationTechnologies Ltd,331,367,ORG
Ring Road,377,386,FAC
Domlur,388,394,GPE
154/2,529,534,CARDINAL
Byrasandra Main Road,561,581,LOC
Bangalore,594,603,GPE
Rs.8000,786,793,MONEY
5th of every month,807,825,DATE
10%,920,923,PERCENT
11 months,930,939,DATE
Rs. 60000.The,994,1007,MONEY
:05/04/2012 will be paid at time of occupation,1042,1088,DATE
Rs. 60000,1168,1177,MONEY
the 5th April of 2012,1400,1421,DATE
month,1423,1428,DATE
the English Calendar month,1446,1472,DATE
two months,1606,1616,DATE
one-month,2447,2456,DATE
one month,2545,2554,DATE
9th Cross,2950,2959,LOC
Byrasandra Main Road,2961,2981,LOC
Bangalore,2994,3003,GPE
1,3030,3031,CARDINAL
1,3038,3039,CARDINAL
2,3049,3050,CARDINAL
first,3182,3187,ORDINAL
1,3217,3218,CARDINAL
