entity,start_char,end_char,label
ONE,639,642,CARDINAL
one month,721,730,DATE
two,823,826,CARDINAL
monthly,936,943,DATE
'Php 3,500.00',1005,1017,MONEY
Philippines,1018,1029,GPE
monthly,1086,1093,DATE
Seven Thousand Pesos,1288,1308,MONEY
'7,000.00',1314,1322,MONEY
one month,1354,1363,DATE
one month,1376,1385,DATE
first,1633,1638,ORDINAL
LANDLORD,2253,2261,PERSON
1 day,2615,2620,DATE
2 days,2680,2686,DATE
four,4670,4674,CARDINAL
4,4676,4677,CARDINAL
more than 12 hours,5777,5795,TIME
at least 14 days,5991,6007,DATE
more than 2 months,6094,6112,DATE
one,6154,6157,CARDINAL
the final day,6314,6327,DATE
an additional seven (7) percent,6605,6636,PERCENT
'September 17, 2014',6751,6769,DATE
'October 17, 2014',6771,6787,DATE
'November 17, 2014',6789,6806,DATE
'December 17, 2014',6808,6825,DATE
MICHAEL DELA CRUZ,7846,7863,PERSON
Two,7900,7903,CARDINAL
