entity,start_char,end_char,label
LANGKAWI,59,67,GPE
15 SEPTEMBER 2012,98,115,DATE
ROHANI BINTI ISMAIL,125,144,PERSON
FIRST,308,313,ORDINAL
FIRST,746,751,ORDINAL
01.09.2012 to 31.08.2013.,939,964,DATE
FIRST WEEK of every month,1100,1125,DATE
FIRST,1132,1137,ORDINAL
RM1700.00,1172,1181,MONEY
Malaysia,1191,1199,GPE
RM600-00,1350,1358,MONEY
RM500-00,1388,1396,MONEY
first,1402,1407,ORDINAL
monthly,1408,1415,DATE
third,1913,1918,ORDINAL
monthly,2146,2153,DATE
monthly,2162,2169,DATE
FIRST,2318,2323,ORDINAL
FIRST,2491,2496,ORDINAL
monthly,2863,2870,DATE
FIRST,2916,2921,ORDINAL
ONE calendar month,3522,3540,DATE
ONE month,3594,3603,DATE
