entity,start_char,end_char,label
Chennai,131,138,GPE
'this 28th day of March, 2012',142,170,DATE
AR. SUBBIAH,184,195,PERSON
about 49 years,202,216,DATE
Arumugam,228,236,PERSON
No.37,250,255,FAC
S.Kodikulam,275,286,GPE
FIRST,358,363,ORDINAL
SOCRATES,382,390,PERSON
about 36 years,397,411,DATE
E.P. Palaniappan,423,439,PERSON
Oragadam,484,492,GPE
Chennai,494,501,GPE
SECOND,549,555,ORDINAL
FIRST,802,807,ORDINAL
Second,874,880,ORDINAL
2,915,916,CARDINAL
Chennai,954,961,GPE
this day,1100,1108,DATE
28.03.2012,1116,1126,DATE
the period ending 31st December 2012,1147,1183,DATE
31st December 2012,1287,1305,DATE
'Rs. 12,000/- (Rupees Twelve Thousand',1399,1435,MONEY
'Rs. 2,500/- (Rupees Two Thousand Five Hundred',1485,1530,MONEY
5th day of every succeeding English Calendar Month,1872,1922,DATE
'Rs. 1,00,000/-',1967,1981,MONEY
290173,2035,2041,CARDINAL
HDFC Bank,2052,2061,ORG
'Rs. 1,00,000/-',2267,2281,MONEY
TENANT,2357,2363,ORG
TENANT,2464,2470,ORG
TENANT,2710,2716,ORG
TENANT,2727,2733,ORG
Flat,2760,2764,FAC
TENANT,2823,2829,ORG
TENANT,2949,2955,ORG
THREE MONTHS,3129,3141,DATE
1st Party,3533,3542,ORG
Xerox,3551,3556,ORG
2nd,3591,3594,ORDINAL
Chennai,3718,3725,GPE
'THE DAY, MONTH AND YEAR FIRST',3935,3964,DATE
1,4029,4030,CARDINAL
