entity,start_char,end_char,label
this 20th day of May 2007,107,132,DATE
Manila,136,142,GPE
Antonio Levy S. Ingles. Jr.,160,187,PERSON
Mary Rose C. Ingles,195,214,PERSON
Unit 2006 EGI Taft Tower,267,291,FAC
Malate,310,316,GPE
Manila,318,324,GPE
GERALDINE O. GALINATO,376,397,PERSON
6 Manganese Road,450,466,FAC
Las Pinas,483,492,GPE
GERALDINE O. GALINATO,631,652,PERSON
Antonio Levy S. Ingles. Jr.,678,705,PERSON
Mary Rose C. Ingles,713,732,PERSON
'Lot 6,',782,788,FAC
'Block 20,',789,798,FAC
Talon 5,845,852,FAC
'the 20th day of May, 2007',912,937,DATE
'the 20th day of May, 2008',968,993,DATE
SIX THOUSAND FIVE HUNDRED PESOS IP 6.500.001,1201,1245,CARDINAL
the 20th day of every month,1289,1316,DATE
the Notice to End Residential,1639,1668,LAW
three,1771,1776,CARDINAL
monthly,1847,1854,DATE
FIVE (5%,1900,1908,PERCENT
SIX THOUSAND FIVE HUNDRED PESOS,2235,2266,MONEY
6.500.001,2270,2279,MONEY
at least 7 days,2771,2786,DATE
monthly,2829,2836,DATE
ANTONIO LEVY S. INGLES.,2896,2919,PERSON
JR,2920,2922,PERSON
first,2932,2937,ORDINAL
3 day,3141,3146,DATE
