entity,start_char,end_char,label
06th day of March 2013,129,151,DATE
Hyderabad,155,164,GPE
C.GOVARDHAN REDDY,203,220,PERSON
Medak District,308,322,GPE
FIRST,352,357,ORDINAL
M/S.SRI JAYAM HOUSING & CONSTRUCTIONS Pvt.,553,595,ORG
B.JAYA PRAKASH,656,670,PERSON
about 33 years,700,714,DATE
SECOND,806,812,ORDINAL
second,978,984,ORDINAL
BR,1242,1244,ORG
first,1367,1372,ORDINAL
BR,1412,1414,ORG
Chandanagar,1632,1643,GPE
Ranga Reddy District,1664,1684,GPE
Andhra Pradesh,1686,1700,GPE
second,1709,1715,ORDINAL
06th day of April 2013,1928,1950,DATE
'RS. 13,000/-',2124,2136,MONEY
the 10th day of same month,2198,2224,DATE
Rupees Thirty Six Thousand,2269,2295,MONEY
first,2545,2550,ORDINAL
second,2611,2617,ORDINAL
ONE month,2676,2685,DATE
