entity,start_char,end_char,label
INDIA,0,5,GPE
21-Apr-2014 10:50 AM,76,96,DATE
NONACC,98,104,GPE
12,207,209,CARDINAL
Zero,229,233,CARDINAL
Two Hundred,327,338,CARDINAL
Two thousand fourteen,436,457,DATE
April twenty first (21/04/14),458,487,DATE
8th Cross,589,598,LOC
7th Main,600,608,LOC
Madhu H N,616,625,PERSON
8th,638,641,ORDINAL
7th,648,651,ORDINAL
'Rs. 50,000',821,831,MONEY
monthly,984,991,DATE
5th of every English calendar month,1054,1089,DATE
<21/04/2014>,1142,1154,DATE
05 months,1203,1212,DATE
TENANT,1323,1329,ORG
TENANT,1418,1424,ORG
TENANT,1532,1538,ORG
TENANT,1630,1636,ORG
10,1726,1728,CARDINAL
TENANT,1734,1740,ORG
Rs 5%,1785,1790,MONEY
monthly,1794,1801,DATE
over 12 months,1947,1961,DATE
Tumkur Taluk,2003,2015,GPE
Gukur Hobli,2017,2028,GPE
Naruganahalli,2030,2043,GPE
Honnenhalli Village Survey,2050,2076,ORG
10/03,2084,2089,CARDINAL
1.13 Acers,2108,2118,QUANTITY
North Hanumantha rayyappa Land,2221,2251,LOC
Chinnama Land,2262,2275,ORG
