entity,start_char,end_char,label
'the City of Olongapo City, Philippines',165,203,GPE
'this 19th day of July, 2011',204,231,DATE
MARITES M. ALICANTE,251,270,PERSON
Filipino,295,303,NORP
No. 50-20th Jonson St.,346,368,FAC
LANDLORD,434,442,FAC
JASMIN B. BAKER,452,467,PERSON
EDWARD RAY BAKER,472,488,PERSON
JR,490,492,PERSON
Phase 1,560,567,FAC
Block 2-,569,577,FAC
7,581,582,CARDINAL
Magdalena Homes,584,599,ORG
'Sto. Tomas,',601,612,FAC
Zambales,620,628,GPE
TENANTS,662,669,ORG
LANDLORD,703,711,PERSON
Phase 1,789,796,FAC
Block 2-Lot 7,798,811,FAC
Magdalena Homes,813,828,ORG
'Sto. Tomas, Suibc',830,847,FAC
Zambales,849,857,GPE
LANDLORD,873,881,PERSON
TENANTS,922,929,ORG
TENANTS,938,945,ORG
LANDLORD,1048,1056,ORG
TENANTS,1073,1080,ORG
TENANTS,1089,1096,ORG
LANDLORD,1121,1129,ORG
TENANTS,1271,1278,ORG
LANDLORD,1446,1454,ORG
THREE (3) MONTHS,1602,1618,DATE
from 16 July 2011 to 16 October 2011,1620,1656,DATE
LANDLORD,1868,1876,ORG
seven (7) days,1892,1906,DATE
monthly,1990,1997,DATE
'22,000.00',2077,2086,MONEY
LANDLORD,2154,2162,PERSON
TENANTS,2224,2231,ORG
one (1) month,2250,2263,DATE
two (2) months,2276,2290,DATE
'August 6, 2011',2337,2351,DATE
THREE (3) MONTHS,2392,2408,DATE
'66,000.00',2452,2461,MONEY
6 August 2011,2580,2593,DATE
two (2) months,2609,2623,DATE
TENANT,2803,2809,ORG
two,2899,2902,CARDINAL
monthly,2913,2920,DATE
TENANTS,2942,2949,ORG
LANDLORD,2997,3005,ORG
TENANT,3217,3223,ORG
21 days,3304,3311,DATE
TENANT,3319,3325,ORG
LANDLORD,3349,3357,ORG
TENANTS,3372,3379,ORG
TENANTS,3491,3498,ORG
TENANTS,3503,3510,ORG
LANDLORD,3552,3560,ORG
LANDLORD,3567,3575,ORG
monthly,3668,3675,DATE
TENANTS,3716,3723,ORG
16 August 2011,3730,3744,DATE
TWENTY-TWO THOUSAND PESOS,3762,3787,QUANTITY
'PhP22,000.00',3789,3801,MONEY
TENANTS,3848,3855,ORG
TENANTS,4013,4020,ORG
TENANTS,4082,4089,ORG
One,4119,4122,CARDINAL
LANDLORD,4208,4216,PRODUCT
TENANTS,4234,4241,ORG
TENANTS,4408,4415,ORG
TENANTS,4567,4574,ORG
LANDLORD,4587,4595,PERSON
TENANTS,4714,4721,ORG
LANDLORD,4777,4785,PERSON
14 days,4939,4946,DATE
LANDLORD,4981,4989,PERSON
TENANTS,5111,5118,ORG
TENANTS,5171,5178,ORG
TENANTS,5379,5386,ORG
TENANT,5582,5588,ORG
TENANT,5595,5601,ORG
TENANTS,5636,5643,ORG
TENANTS,5747,5754,ORG
TENANTS,5970,5977,ORG
first,6155,6160,ORDINAL
LANDLORD,6195,6203,PERSON
TENANT,6205,6211,ORG
LANDLORD,6289,6297,PERSON
TENANTS,6323,6330,ORG
LANDLORD,6484,6492,PERSON
LANDLORD,6511,6519,ORG
normal business hours,6562,6583,TIME
at least 24 hours,6622,6639,TIME
TENANTS,6643,6650,ORG
LANDLORD,6652,6660,ORG
LANDLORD,6731,6739,ORG
LANDLORD,6788,6796,ORG
TENANTS,6877,6884,ORG
TENANTS,6919,6926,ORG
7 days,6986,6992,DATE
LANDLORD,7003,7011,ORG
TENANTS,7013,7020,ORG
TENANTS,7051,7058,ORG
those many days,7127,7142,DATE
TENANTS,7148,7155,ORG
TENANTS,7240,7247,ORG
24 hours,7323,7331,TIME
LANDLORD,7350,7358,PERSON
LANDLORD,7460,7468,PERSON
LANDLORD,7514,7522,ORG
TENANTS,7524,7531,ORG
LANDLORD,7544,7552,PERSON
TENANTS,7620,7627,ORG
LANDLORD,7638,7646,PERSON
TENANTS,7704,7711,ORG
LANDLORD,7799,7807,PERSON
LANDLORD,7815,7823,PERSON
TENANT,7887,7893,ORG
TENANTS,8015,8022,ORG
TENANTS,8475,8482,ORG
LANDLORD,8555,8563,ORG
TENANTS,8574,8581,ORG
LANDLORD,8618,8626,PERSON
LANDLORD,8649,8657,ORG
TENANTS,8719,8726,ORG
TENANTS,8793,8800,ORG
any reasonable hour,8826,8845,TIME
TENANTS,8992,8999,ORG
TENANTS,9195,9202,ORG
LANDLORD,9232,9240,PERSON
TENANTS,9508,9515,ORG
LANDLORD,9530,9538,PERSON
TENANTS,9638,9645,ORG
Twenty Five (25) %,9690,9708,PERCENT
TENANTS,9738,9745,ORG
TENANTS,9835,9842,ORG
this House (Fully Furnished) Lease/Rental Agreement,9894,9945,LAW
TENANTS,10252,10259,ORG
TENANTS,10276,10283,ORG
TENANTS,10305,10312,ORG
TENANTS,10356,10363,ORG
TENANTS,10532,10539,ORG
TENANTS,10558,10565,ORG
19 July 2011,10858,10870,DATE
Olongapo City,10874,10887,GPE
Philippines,10889,10900,GPE
MARITES M. ALICANTE,10904,10923,PERSON
LANDLORD,10925,10933,PERSON
EDWARD RAY BAKER,10935,10951,PERSON
'Olongapo City	) S.S

',11041,11062,GPE
MARITES M. ALICANTE,11138,11157,PERSON
JASMIN B. BAKER,11163,11178,PERSON
EDWARD RAY BAKER,11184,11200,PERSON
four,11405,11409,CARDINAL
4,11411,11412,CARDINAL
first,11659,11664,ORDINAL
2011,11740,11744,DATE
