entity,start_char,end_char,label
this 20th day of May 2007,117,142,DATE
Manila,146,152,GPE
Antonio Levy S. Ingles. Jr.,170,197,PERSON
Mary Rose C. Ingles,205,224,PERSON
Unit 2006 EGI Taft Tower,277,301,FAC
Malate,320,326,GPE
Manila,328,334,GPE
GERALDINE O. GALINATO,386,407,PERSON
6 Manganese Road,459,475,FAC
Las Pinas,492,501,GPE
GERALDINE O. GALINATO,640,661,PERSON
Antonio Levy S. Ingles. Jr.,687,714,PERSON
Mary Rose C. Ingles,722,741,PERSON
'Lot 6,',791,797,FAC
'Block 20,',798,807,FAC
Talon 5,854,861,FAC
'the 20th day of May, 2007',921,946,DATE
'the 20th day of May, 2008',977,1002,DATE
SIX THOUSAND FIVE HUNDRED PESOS IP 6.500.001,1210,1254,CARDINAL
the 20th day of every month,1298,1325,DATE
the Notice to End Residential Tenancy,1657,1694,LAW
three,1801,1806,CARDINAL
monthly,1886,1893,DATE
FIVE (5%,1939,1947,PERCENT
SIX THOUSAND FIVE HUNDRED PESOS IP 6.500.001,2273,2317,CARDINAL
at least 7 days,2809,2824,DATE
monthly,2867,2874,DATE
ANTONIO LEVY S. INGLES. JR,2934,2960,PERSON
first,2970,2975,ORDINAL
3 day,3179,3184,DATE
first,3292,3297,ORDINAL
Surname,3502,3509,PERSON
Surname,3535,3542,PERSON
Surname,3580,3587,PERSON
Surname,3625,3632,PERSON
Surname,3670,3677,PERSON
Surname,3715,3722,PERSON
the House Rental Contract,3797,3822,LAW
the Republic of the Philippines,4452,4483,GPE
9,5115,5116,CARDINAL
first,7439,7444,ORDINAL
3 days,8714,8720,DATE
one month’s,10201,10212,DATE
at least 15 days,10357,10373,DATE
monthly,10398,10405,DATE
'prior to the 20th day of May, 2008',10467,10501,DATE
1,10580,10581,CARDINAL
Thirty days,10716,10727,DATE
at least 7 days,11289,11304,DATE
reasonable hours,12322,12338,TIME
FIVE HUNDRED PESOS IP 500.001,12477,12506,CARDINAL
32,13172,13174,CARDINAL
this 2007,13413,13422,DATE
Manila,13427,13433,GPE
GERALDINE Q. GALINATO,13435,13456,PERSON
Mary Rose C. Ingles,13528,13547,PERSON
Antonio Levy S. Ingles,13556,13578,PERSON
Manila,13714,13720,GPE
two,13993,13996,CARDINAL
'Lot 6,',14033,14039,FAC
'Block 20,',14040,14049,FAC
Marcos Alvarez Avenue,14073,14094,FAC
Talon 5,14096,14103,FAC
Las Pinas City,14105,14119,GPE
Metro Manila,14121,14133,GPE
five,14149,14153,CARDINAL
5,14155,14156,CARDINAL
GERALDINE O. CAM,14443,14459,PERSON
6 Manganese Road,14529,14545,FAC
Las Pinas,14562,14571,GPE
Metro Manila,14573,14585,GPE
ELEVEN,14612,14618,CARDINAL
11,14620,14622,CARDINAL
the 20th of June 2007,14655,14676,DATE
ANTONIO LEVY S. INGLES. JR..,14689,14717,PERSON
monthly,14731,14738,DATE
'from June 20, 2007 to May 20, 2007',14753,14787,DATE
Lot 6,14822,14827,FAC
20,14835,14837,CARDINAL
Marcos Alvarez Avenue,14862,14883,LOC
Talon 5,14885,14892,FAC
'from June 20, 2007 to May 20, 2007',14955,14989,DATE
'this 20th day of May, 2007',15222,15248,DATE
Lot 6,15253,15258,FAC
20,15266,15268,CARDINAL
Royal South Townhomes,15270,15291,FAC
Marcos Alvarez Avenue,15293,15314,FAC
Talon 5,15316,15323,FAC
Las Pinas City,15325,15339,GPE
Metro Manila,15341,15353,GPE
GERALDINE Q. GALINATO,15355,15376,PERSON
CELESTINO ALFARO,15388,15404,PERSON
MIA ALFARO,15416,15426,PERSON
JED ALFARO,15437,15447,PERSON
