entity,start_char,end_char,label
SUHAIMI BIN AG.,193,208,PERSON
AMAN,209,213,PERSON
NOOR AZEENAH BINTI MICHAEL,218,244,PERSON
MOHD KHAIRUN BIN ZAKARIA,300,324,PERSON
OWNER,398,403,ORG
RESIDENT,429,437,ORG
RESIDENT,442,450,ORG
OWNER,477,482,ORG
HOUSE NO.,546,555,FAC
97,556,558,CARDINAL
'JALAN DUGANG TAMBALANG,TUARAN',560,589,GPE
SABAH,606,611,GPE
450,657,660,MONEY
1st July 2014,714,727,DATE
one (1) year,745,757,DATE
month,810,815,DATE
OWNER,1285,1290,ORG
'the First Month''s',1315,1332,DATE
450,1344,1347,MONEY
900,1378,1381,MONEY
2 months,1383,1391,DATE
350,1437,1440,MONEY
RM 1700,1477,1484,MONEY
30 days,1730,1737,DATE
RESIDENT,2109,2117,ORG
14 days,2125,2132,DATE
OWNER,2267,2272,ORG
RESIDENT,2286,2294,ORG
OWNER,2583,2588,ORG
OWNER,2637,2642,ORG
30 day,2666,2672,DATE
OWNER,2751,2756,ORG
more than ten gallons,2911,2932,QUANTITY
OWNER,3022,3027,ORG
RESIDENT,3029,3037,ORG
OWNER,3091,3096,ORG
three day,3605,3614,DATE
OWNER,3934,3939,ORG
RESIDENT,4046,4054,ORG
OWNER,4385,4390,ORG
OWNER,4538,4543,ORG
30-day,5932,5938,DATE
RESIDENT,5997,6005,ORG
month,6206,6211,DATE
3 0-day,6273,6280,DATE
OWNER,6606,6611,ORG
OWNER,6830,6835,ORG
OWNER,6887,6892,ORG
OWNER,7679,7684,ORG
OWNER,7841,7846,ORG
OWNER,7953,7958,ORG
24 hours,7970,7978,TIME
normal business hours,8055,8076,TIME
OWNER,8190,8195,ORG
OWNER,8266,8271,ORG
OWNER,8503,8508,ORG
343,9996,9999,CARDINAL
89607,10024,10029,CARDINAL
RESIDENT,10397,10405,ORG
this Rental Agreement,10649,10670,LAW
MOHD KHAIRUN BIN,10673,10689,PERSON
