entity,start_char,end_char,label
this first day of September 2011,101,133,DATE
01-09-2011,135,145,DATE
Bangalore,150,159,GPE
S Parthasarathy,179,194,PERSON
69 years,221,229,DATE
87,252,254,CARDINAL
9,267,268,CARDINAL
Jubilee Hills,282,295,GPE
Hyderabad,297,306,GPE
ONE,355,358,CARDINAL
Hari Kiran Tholeti,372,390,PERSON
Sambasiva Rao,399,412,PERSON
36 years,419,427,DATE
Flat 202,441,449,FAC
36,456,458,CARDINAL
Sri Venkateswara Residency,460,486,ORG
Central Excise Colony,488,509,ORG
Bagamberpet,511,522,GPE
Hyderabad,524,533,GPE
S Parthasarathy,633,648,PERSON
121,711,714,CARDINAL
7th,716,719,ORDINAL
D5 Block,728,736,PRODUCT
Kendriya Vihar,777,791,GPE
Bangalore,793,802,GPE
Yelahanka,817,826,GPE
560064,839,845,DATE
Owner,958,963,ORG
Tenant,1011,1017,ORG
Owner,1127,1132,ORG
monthly,1199,1206,DATE
'Rs.9,000/-',1215,1225,ORG
the Kendriya Vihar Apartment Owners Association,1298,1345,ORG
KVAOA,1347,1352,ORG
Tenant,1458,1464,ORG
Clause 3,1646,1654,LAW
KVAOA,1725,1730,ORG
KVAOA,1779,1784,ORG
1st September 2011,1828,1846,DATE
11,1887,1889,CARDINAL
monthly,1928,1935,DATE
5th,2044,2047,ORDINAL
BESCOM,2131,2137,ORG
the Rental Agreement,2424,2444,LAW
Owner,2518,2523,ORG
Tenant,2722,2728,ORG
Owner,3134,3139,ORG
Clause 1,3291,3299,LAW
10%,3320,3323,PERCENT
eleven months,3348,3361,DATE
this Rental Agreement,3387,3408,LAW
Owner,3730,3735,ORG
the Rental Agreement,3797,3817,LAW
this Rental Agreement,3962,3983,LAW
this Rental Agreement,4059,4080,LAW
Owner,4086,4091,ORG
S Parthasarathy,4568,4583,PERSON
Hari Kiran Tholeti,4638,4656,PERSON
