entity,start_char,end_char,label
This House Rental Contract,67,93,ORG
this 20th day of May 2007,117,142,DATE
Manila,146,152,GPE
Levy S. Ingles,178,192,PERSON
Mary Rose C. Ingles,205,224,PERSON
Unit 2006,277,286,ORG
EGI Taft Tower,287,301,PERSON
2339,302,306,CARDINAL
Taft Avenue,307,318,FAC
Malate,320,326,GPE
Manila,328,334,GPE
GERALDINE O. GALINATO,386,407,PERSON
6 Manganese Road,459,475,ORG
Pilar Village,477,490,GPE
Las Pinas,492,501,GPE
Metro Manila,503,515,GPE
WITNESSETH,562,572,PERSON
Resident(s,617,627,PERSON
GERALDINE O. GALINATO,640,661,PERSON
Antonio Levy S. Ingles,687,709,PERSON
Mary Rose C. Ingles,722,741,PERSON
Royal South Townhomes,808,829,ORG
Marcos Alvarez Avenue,831,852,PERSON
Talon 5,854,861,ORG
Las Pinas City,863,877,GPE
Metro Manila,879,891,GPE
'the 20th day of May, 2007',921,946,DATE
monthly,952,959,DATE
'the 20th day of May, 2008',977,1002,DATE
Resident(s,1049,1059,PERSON
SIX THOUSAND FIVE HUNDRED PESOS IP,1210,1244,DATE
the 20th day of every month,1298,1325,DATE
Resident(s,1474,1484,PERSON
Resident(s,1712,1722,PERSON
three,1801,1806,CARDINAL
monthly,1886,1893,DATE
FIVE,1939,1943,CARDINAL
5%,1945,1947,PERCENT
Resident(s,2021,2031,PERSON
Resident(s,2139,2149,PERSON
Resident(s,2220,2230,PERSON
SIX THOUSAND FIVE HUNDRED PESOS IP,2273,2307,DATE
Resident(s,2328,2338,ORG
Resident(s),2648,2659,ORG
at least 7 days,2809,2824,DATE
monthly,2867,2874,DATE
ANTONIO LEVY S. INGLES.,2934,2957,PERSON
JR,2958,2960,PERSON
first,2970,2975,ORDINAL
Resident(s,3145,3155,PERSON
3 day,3179,3184,DATE
first,3292,3297,ORDINAL
Resident(s,3339,3349,PERSON
the House Rental Contract,3797,3822,ORG
the Republic of the Philippines,4452,4483,GPE
Resident(s,4779,4789,ORG
Resident(s)’s,4834,4847,ORG
Resident(s,4932,4942,PERSON
Resident(s,4989,4999,PERSON
9,5115,5116,CARDINAL
Resident(s,5142,5152,PERSON
Resident(s,5286,5296,PERSON
Resident(s)’s,5390,5403,ORG
Resident(s,5439,5449,PERSON
Resident(s,6179,6189,PERSON
Resident(s)’s,6254,6267,ORG
Resident(s,6993,7003,PERSON
Resident(s,7226,7236,PERSON
Resident(s,7358,7368,PERSON
first,7439,7444,ORDINAL
Resident(s,7713,7723,PERSON
Resident(s,7756,7766,ORG
Resident(s)’s,7783,7796,ORG
Resident(s,7882,7892,PERSON
Resident(s,8032,8042,PERSON
Resident(s,8227,8237,PERSON
Resident(s,8581,8591,PERSON
3 days,8714,8720,DATE
Resident(s,8752,8762,PERSON
Resident(s,8857,8867,PERSON
Resident(s,8942,8952,PERSON
Resident(s,9149,9159,PERSON
Resident(s,9443,9453,PERSON
pet(s,9457,9462,GPE
Resident(s)’s,9735,9748,ORG
Resident(s,9858,9868,PERSON
15 days,9906,9913,DATE
Resident(s,10036,10046,PERSON
Resident(s)’s,10158,10171,ORG
one month’s,10201,10212,DATE
at least 15 days,10357,10373,DATE
monthly,10398,10405,DATE
'the 20th day of May, 2008',10476,10501,DATE
1,10580,10581,CARDINAL
Thirty days,10716,10727,DATE
Resident(s,10841,10851,PERSON
Resident(s,10954,10964,PERSON
Resident(s,11125,11135,PERSON
at least 7 days,11289,11304,DATE
Resident(s,12146,12156,PERSON
RENEWAI,12353,12360,PERSON
FIVE HUNDRED PESOS IP 500.001,12477,12506,MONEY
Singular,12580,12588,ORG
'Owner, Owners',12695,12708,ORG
'Landlord, Lesser',12736,12752,ORG
Resident(s,12793,12803,PERSON
Tenant,12818,12824,ORG
32,13172,13174,CARDINAL
this House Rental Contract,13217,13243,ORG
Resident(s,13250,13260,PERSON
2007,13418,13422,DATE
Manila,13427,13433,GPE
'GERALDINE Q. GALINATO

',13435,13458,PERSON
'Resident

CELESTINO ALFARO

',13458,13486,PERSON
Antonio Levy S. Ingles,13556,13578,PERSON
Manila,13714,13720,GPE
House Rental Contract of a,13966,13992,ORG
two,13993,13996,CARDINAL
Lot 6,14033,14038,FAC
Royal South Townhomes,14050,14071,ORG
Marcos Alvarez Avenue,14073,14094,PERSON
Talon 5,14096,14103,ORG
Las Pinas City,14105,14119,GPE
Metro Manila,14121,14133,GPE
five,14149,14153,CARDINAL
5,14155,14156,CARDINAL
'this


PROMISORY NOTE',14407,14428,PRODUCT
GERALDINE O. CAM NATO Resident(s,14443,14475,PERSON
6 Manganese Road,14529,14545,ORG
Pilar Village,14547,14560,GPE
Las Pinas,14562,14571,GPE
Metro Manila,14573,14585,GPE
the 20th of June 2007,14655,14676,DATE
ANTONIO LEVY S. INGLES.,14689,14712,PERSON
JR,14713,14715,PERSON
monthly,14731,14738,DATE
'June 20, 2007 to',14758,14774,DATE
'May 20, 2007',14775,14787,DATE
Royal South Townhomes,14839,14860,ORG
Marcos Alvarez Avenue,14862,14883,PERSON
Talon 5,14885,14892,ORG
Las Pinas City,14894,14908,GPE
'Metro Manila

',14910,14924,FAC
11,14947,14949,CARDINAL
'June 20, 2007',14960,14973,DATE
'May 20, 2007',14977,14989,DATE
FUFILL,15007,15013,ORG
Resident(s,15059,15069,PERSON
'this 20th day of May, 2007',15222,15248,DATE
Royal South Townhomes,15270,15291,ORG
Marcos Alvarez Avenue,15293,15314,PERSON
Talon 5,15316,15323,ORG
Las Pinas City,15325,15339,GPE
'Metro Manila

',15341,15355,FAC
'GERALDINE Q. GALINATO

',15355,15378,PERSON
'Resident

CELESTINO ALFARO

',15378,15406,PERSON
'JED ALFARO

',15437,15449,PERSON
