entity,start_char,end_char,label
'KARNATAKA

',11,22,PERSON
&&,66,68,ORG
This Rental Agreement,203,224,LAW
Bangalore,253,262,GPE
'1/4/2014

',285,295,PERSON
'Nagappa

D',317,327,PERSON
2nd,335,338,ORDINAL
'Rumamurthynagar

',358,375,PERSON
Bangalore,375,384,GPE
'560016

',385,393,PERSON
Hereinafter,393,404,PERSON
Ms Pottumurthi Udayalaxmi W,441,468,PERSON
'Kajjam

H No.27-7 Main Bazar',484,512,PERSON
Nalgonda Dist,531,544,ORG
Hereinafter,558,569,PERSON
1,653,654,CARDINAL
Forty thousand,716,730,DATE
the Rental Charges of thousand three hundred,960,1004,ORG
month,1016,1021,DATE
Electrcity,1038,1048,PERSON
This Rental Agreement Duration,1079,1109,LAW
months,1130,1136,DATE
this date of,1142,1154,DATE
Two Month,1284,1293,DATE
Schedule,1510,1518,ORG
House,1719,1724,ORG
184,1750,1753,CARDINAL
2nd,1764,1767,ORDINAL
Ruma.murth.yne.gar,1788,1806,GPE
Bangalore,1808,1817,GPE
1,1837,1838,CARDINAL
this Rental Agreement,1920,1941,LAW
the day,1945,1952,DATE
month,1953,1958,DATE
