entity,start_char,end_char,label
'INDIA NON JUDICIAL

',0,20,ORG
Karnataka,34,43,GPE
21,76,78,CARDINAL
BK)/ kakscub08/,106,121,PERSON
NAGAVENI,174,182,ORG
Article 12 Bond,199,214,LAW
0,225,226,CARDINAL
NAGAVENI,240,248,ORG
NAGAVENI,296,304,ORG
Two Hundred,327,338,CARDINAL
Two thousand fourteen April twenty,436,470,DATE
Between S T Nagaveni,489,509,PRODUCT
8th Cross,589,598,ORG
7th,600,603,ORDINAL
8th,638,641,ORDINAL
7th,648,651,ORDINAL
Sspuram Tumkur,657,671,PERSON
this day,803,811,DATE
'50,000 (Rupees fifty thousand',825,854,MONEY
monthly,984,991,DATE
'Rs 5,000/-(Rupees',1000,1017,ORG
5th,1054,1057,ORDINAL
English,1067,1074,LANGUAGE
05 months,1203,1212,DATE
Security,1235,1243,ORG
Bill,1445,1449,PERSON
10,1726,1728,CARDINAL
Rs 5%,1785,1790,PERCENT
monthly,1794,1801,DATE
every year,1812,1822,DATE
over 12 months,1947,1961,DATE
Tumkur Taluk,2003,2015,ORG
Gukur Hobli,2017,2028,PERSON
Naruganahalli,2030,2043,ORG
Honnenhalli Village,2050,2069,ORG
Number 10/03,2077,2089,CARDINAL
1.13 Acers,2108,2118,CARDINAL
Shed,2160,2164,PERSON
North Hanumantha,2221,2237,GPE
South,2254,2259,LOC
Chinnama Land,2262,2275,ORG
