entity,start_char,end_char,label
the 1st day of,26,40,DATE
May 2016,41,49,DATE
01.05.2016,51,61,NORP
ANAND RAJ,71,80,PERSON
CJ Scaria,87,96,PERSON
26 years,103,111,DATE
Changankariyil House Karuvanchal PO,125,160,ORG
Alakode,162,169,PERSON
Taliparamba,171,182,PERSON
Kannur Pincode,184,198,PERSON
670571,200,206,CARDINAL
One,254,257,CARDINAL
BEENA PURATHAYIL MADHAVAN W,267,294,ORG
62 years,329,337,DATE
O. Cochin,400,409,PERSON
682021,410,416,DATE
'BEENA PURATHAYIL MADHAVAN

',478,505,PERSON
Regal Valancia,594,608,PERSON
682021,623,629,CARDINAL
Items 5 Fan,656,667,ORG
Thrikkakara Municipality,744,768,GPE
'BEENA PURATHAYIL MADHAVAN

',911,938,PERSON
'FOLLOWS:-

',973,984,PERSON
monthly,1018,1025,DATE
Rs,1034,1036,ORG
Eleven Thousand Five Hundred,1047,1075,DATE
5th,1149,1152,ORDINAL
the English Calendar,1175,1195,EVENT
Thirty-Five Thousand,1291,1311,DATE
11 months,2011,2020,DATE
01-05-2016,2026,2036,DATE
this day,2175,2183,DATE
'MADHAVAN

',2203,2213,PERSON
the Flat Owners Association,2417,2444,ORG
one month,2642,2651,DATE
14,3102,3104,CARDINAL
one,3139,3142,CARDINAL
the day month,3255,3268,DATE
BEENA PURATHAYIL MADHAVAN,3300,3325,ORG
1,3343,3344,CARDINAL
2,3347,3348,CARDINAL
