entity,start_char,end_char,label
the 27th day January 2010,72,97,DATE
about 51 years,140,154,DATE
1st Stage,190,199,ORG
Thavarekere,201,212,PERSON
Hereinafter,239,250,PERSON
one,289,292,CARDINAL
SHANKAR GUPTA,315,328,PERSON
'TVS COMPNAY LIMITED

',342,363,ORG
109,410,413,CARDINAL
'TAMIL NADU

',435,447,EVENT
INDIA,448,453,GPE
Pradesh,470,477,GPE
Hereinafter,490,501,PERSON
monthly,872,879,DATE
Rs 9 500/-,888,898,ORG
( Rupees nine thousand five hundred,898,933,MONEY
11 month,1078,1086,DATE
one month,1101,1110,DATE
the period of 11 month,1151,1173,DATE
5 %,1292,1295,PERCENT
11 month,1304,1312,DATE
three months,1804,1816,DATE
5th,2162,2165,ORDINAL
English,2175,2182,LANGUAGE
1 month,2233,2240,DATE
5th Cross,3558,3567,ORG
BTM 1st Stage,3569,3582,ORG
Thavaerekere,3584,3596,PERSON
560029,3614,3620,CARDINAL
one,3638,3641,CARDINAL
one,3656,3659,CARDINAL
'the day, month',3805,3819,DATE
first,3829,3834,ORDINAL
Bangalore,3846,3855,GPE
1,3870,3871,CARDINAL
