entity,start_char,end_char,label
Bangalore,102,111,GPE
'this 5th day of April, 2012',116,143,DATE
Mrs,153,156,PERSON
PADMAVATI,158,167,GPE
'154/2,1st',169,178,CARDINAL
9th Cross,186,195,ORG
Byrasandra Main Road,197,217,ORG
G M Palya,218,227,ORG
Bangalore,229,238,GPE
one,284,287,CARDINAL
SANGHAMITRA PARIDA,299,317,PERSON
Sasken CommunicationTechnologies Ltd,331,367,ORG
139/25,369,375,GPE
Ring Road,377,386,FAC
Domlur Bangalore,388,404,ORG
071,409,412,CARDINAL
154/2,529,534,CARDINAL
9th Cross,550,559,ORG
Byrasandra Main Road,561,581,ORG
G M Palya,583,592,ORG
Bangalore,594,603,GPE
075,610,613,CARDINAL
.In,614,617,PRODUCT
monthly,770,777,DATE
Rs.8000,786,793,NORP
5th,807,810,ORDINAL
10%,920,923,PERCENT
11 months,930,939,DATE
Rs,994,996,ORG
Rs,1168,1170,ORG
60000,1172,1177,CARDINAL
Months,1388,1394,DATE
5th,1404,1407,ORDINAL
April of 2012,1408,1421,DATE
the English Calendar month,1446,1472,EVENT
a consecutive period of,1582,1605,DATE
two months,1606,1616,DATE
Owner,1864,1869,ORG
Owner,2005,2010,ORG
one-month,2447,2456,DATE
one month,2545,2554,DATE
3,2807,2808,CARDINAL
3,2832,2833,CARDINAL
1,2852,2853,CARDINAL
5,2864,2865,CARDINAL
154/2,2929,2934,CARDINAL
9th Cross,2950,2959,ORG
Byrasandra Main Road,2961,2981,ORG
G M Palya,2983,2992,ORG
Bangalore,2994,3003,GPE
1,3038,3039,CARDINAL
2,3049,3050,CARDINAL
1 Bath & Toilet,3062,3077,ORG
the day and year,3165,3181,DATE
1,3217,3218,CARDINAL
